Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
21.4,734419328,279,2632327.3,11552.0,2880,28544608,4933649.9,cudaStreamSynchronize
16.4,562725280,163,3452302.3,34208.0,1120,206794208,23859147.7,cudaMemcpyAsync
15.8,544684160,21,25937341.0,1047904.0,14784,291628704,69655147.3,cudaMalloc
12.8,439305536,430,1021640.8,126624.0,73792,13708896,1448064.0,cuModuleLoadData
6.6,228504192,434,526507.4,42880.0,30816,3301824,798851.8,cuModuleUnload
6.4,221435680,27,8201321.5,6720.0,2144,100587744,22359643.1,cudaFree
5.6,191684800,10976,17464.0,17504.0,2048,2136064,21628.6,cuLaunchKernelEx
5.0,172223072,12861,13391.1,12672.0,1184,1596960,20812.6,cuLaunchKernel
4.5,153116640,32,4784895.0,32112.0,24640,45053472,10700725.6,cudaGraphLaunch_v10000
2.2,74046016,37,2001243.7,84512.0,26048,42217056,8292135.9,cudaDeviceSynchronize
1.5,50658272,32,1583071.0,136304.0,99904,7303456,2539135.1,cudaGraphInstantiateWithFlags_v11040
0.7,22947584,325,70608.0,24512.0,6080,6425664,434287.5,cudaLaunchKernel
0.3,9248256,128,72252.0,3232.0,2304,1947136,284448.0,cudaStreamCreateWithPriority
0.2,8445536,32,263923.0,23920.0,13600,1062112,420716.1,cudaGraphExecDestroy_v10000
0.2,6173600,112,55121.4,49920.0,46784,400320,33460.5,cuMemcpyDtoH_v2
0.1,3696096,32,115503.0,10688.0,8192,495232,186511.7,cudaGraphDestroy_v10000
0.1,3530560,2078,1699.0,992.0,896,496288,10955.1,cudaEventCreateWithFlags
0.1,2848288,339,8402.0,5440.0,1472,446528,31814.3,cudaStreamIsCapturing_v10000
0.1,1790048,4,447512.0,307552.0,157120,1017824,388677.5,cuModuleLoadFatBinary
0.1,1777664,2078,855.5,800.0,736,28672,657.8,cudaEventDestroy
0.0,1397728,16,87358.0,31552.0,8480,894144,216018.0,cudaStreamCreate
0.0,1271840,32,39745.0,40480.0,28608,43552,3288.8,cudaStreamBeginCapture_v10000
0.0,913408,20,45670.4,18752.0,384,157824,56685.9,cudaMemsetAsync
0.0,726912,32,22716.0,7520.0,6240,89920,28093.7,cudaStreamEndCapture_v10000
0.0,403808,32,12619.0,4576.0,4064,41280,14196.3,cudaGraphGetNodes_v10000
0.0,334880,110,3044.4,2752.0,1792,35552,3184.6,cuEventRecord
0.0,236224,110,2147.5,2112.0,1440,8864,716.1,cuStreamWaitEvent
0.0,210912,16,13182.0,9104.0,3328,45376,12352.6,cudaStreamDestroy
0.0,177408,410,432.7,320.0,224,4352,311.6,cuGetProcAddress_v2
0.0,165696,32,5178.0,5184.0,4288,6016,431.7,cudaStreamGetCaptureInfo_v2_v11030
0.0,111072,6,18512.0,12448.0,4736,37952,13865.2,cuStreamCreate
0.0,104224,115,906.3,512.0,448,17344,2166.5,cuEventCreate
0.0,100384,6,16730.7,18064.0,5696,25856,8670.0,cuStreamDestroy_v2
0.0,72704,115,632.2,384.0,320,4288,704.6,cuEventDestroy_v2
0.0,37408,10,3740.8,2976.0,1760,6912,2041.6,cuCtxSetCurrent
0.0,11360,1,11360.0,11360.0,11360,11360,0.0,cuInit
0.0,8864,7,1266.3,1088.0,864,2848,706.1,cuModuleGetLoadingMode
