Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
27.0,576303168,16,36018948.0,1020784.0,7680,338057472,88358095.1,cudaMalloc
26.4,565140000,71,7959718.3,31392.0,960,214050144,36318453.0,cudaMemcpyAsync
19.4,414793568,430,964636.2,113264.0,73824,14013120,1471982.9,cuModuleLoadData
10.4,222543136,27,8242338.4,6976.0,2368,102841504,22619529.4,cudaFree
10.3,220400128,434,507834.4,42304.0,28320,2213280,764168.3,cuModuleUnload
2.2,46782208,31,1509103.5,14912.0,2848,23623840,5093303.5,cudaStreamSynchronize
1.4,29535744,93,317588.6,16384.0,6080,23168768,2428736.2,cudaLaunchKernel
0.5,11120928,929,11970.9,11136.0,1312,152928,9151.2,cuLaunchKernel
0.5,10833824,641,16901.4,16960.0,1792,43360,8632.8,cuLaunchKernelEx
0.5,10431328,128,81494.8,3536.0,2048,2244832,323087.3,cudaStreamCreateWithPriority
0.3,5983328,112,53422.6,51168.0,46656,142944,9960.7,cuMemcpyDtoH_v2
0.3,5564384,1,5564384.0,5564384.0,5564384,5564384,0.0,cudaGraphInstantiateWithFlags_v11040
0.2,4883680,6,813946.7,57680.0,21440,4647520,1878196.3,cudaDeviceSynchronize
0.2,3497088,2078,1682.9,992.0,896,477056,10551.4,cudaEventCreateWithFlags
0.1,1851808,4,462952.0,344336.0,156128,1007008,374945.3,cuModuleLoadFatBinary
0.1,1753696,2078,843.9,800.0,736,6080,228.8,cudaEventDestroy
0.1,1396096,16,87256.0,27984.0,8576,909920,220224.9,cudaStreamCreate
0.0,1047584,1,1047584.0,1047584.0,1047584,1047584,0.0,cudaGraphExecDestroy_v10000
0.0,876256,20,43812.8,18208.0,576,135264,53608.3,cudaMemsetAsync
0.0,365312,1,365312.0,365312.0,365312,365312,0.0,cudaGraphDestroy_v10000
0.0,315200,110,2865.5,2688.0,1856,10656,1026.1,cuEventRecord
0.0,249920,110,2272.0,2240.0,1536,8480,692.3,cuStreamWaitEvent
0.0,207808,16,12988.0,9456.0,4416,45824,12324.2,cudaStreamDestroy
0.0,170336,410,415.5,320.0,192,5184,343.8,cuGetProcAddress_v2
0.0,130144,20,6507.2,5648.0,1920,14976,2863.7,cudaStreamIsCapturing_v10000
0.0,115520,6,19253.3,14864.0,6048,36544,12812.3,cuStreamCreate
0.0,108576,115,944.1,512.0,448,18304,2306.4,cuEventCreate
0.0,97664,6,16277.3,16560.0,6624,25728,8177.6,cuStreamDestroy_v2
0.0,73376,115,638.1,384.0,320,3488,573.3,cuEventDestroy_v2
0.0,39712,1,39712.0,39712.0,39712,39712,0.0,cudaStreamEndCapture_v10000
0.0,36992,1,36992.0,36992.0,36992,36992,0.0,cudaStreamBeginCapture_v10000
0.0,35616,10,3561.6,2512.0,1600,6560,1929.5,cuCtxSetCurrent
0.0,26720,1,26720.0,26720.0,26720,26720,0.0,cudaGraphGetNodes_v10000
0.0,10048,7,1435.4,896.0,800,4512,1360.3,cuModuleGetLoadingMode
0.0,9184,1,9184.0,9184.0,9184,9184,0.0,cuInit
0.0,5312,1,5312.0,5312.0,5312,5312,0.0,cudaStreamGetCaptureInfo_v2_v11030
