Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
27.3,25891104,164,157872.6,141760.0,77824,311392,72461.2,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
20.6,19516640,84,232341.0,237024.0,108928,303296,60761.3,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
11.0,10475072,56,187054.9,173904.0,84544,259808,51056.5,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
9.9,9435200,56,168485.7,119424.0,116416,261024,66054.4,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
9.9,9412096,2,4706048.0,4706048.0,4688960,4723136,24166.1,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
8.9,8446176,56,150824.6,107840.0,104896,230752,59075.1,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
2.0,1922176,56,34324.6,25136.0,23904,50432,12030.7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
1.2,1167712,56,20852.0,14496.0,13984,31456,8158.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
0.8,776256,54,14375.1,10320.0,9440,21504,5309.1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
0.8,721952,56,12892.0,10064.0,9216,19616,4065.6,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
0.6,566752,28,20241.1,21648.0,9984,22816,4248.8,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
0.5,510176,56,9110.3,7088.0,6624,13696,2802.5,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
0.5,508000,54,9407.4,7568.0,5344,14080,3357.5,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
0.5,486432,56,8686.3,6672.0,6272,12512,2779.0,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
0.5,479104,56,8555.4,6352.0,5536,13920,3343.2,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
0.5,458560,27,16983.7,18528.0,9312,18912,3292.4,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
0.5,456640,2,228320.0,228320.0,154816,301824,103950.4,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
0.4,397344,56,7095.4,5536.0,4736,10816,2432.0,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
0.4,392768,28,14027.4,15200.0,8160,16064,2778.4,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
0.4,390176,28,13934.9,14928.0,7744,15776,2576.2,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
0.4,366208,54,6781.6,5248.0,5024,9792,2057.0,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
0.4,361920,28,12925.7,13920.0,7808,15456,2474.1,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
0.4,357696,27,13248.0,14048.0,6976,15072,2674.1,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
0.4,353536,27,13093.9,13856.0,7840,14816,2304.5,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
0.3,310368,28,11084.6,12000.0,6208,12544,2022.4,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
0.3,295104,28,10539.4,11232.0,6016,12256,1880.0,__myl_ResMulMea_0xa004b8b1aee1c828801c9405f41c9d8a_com_vec
0.2,233120,2,116560.0,116560.0,75328,157792,58310.9,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
0.0,41952,2,20976.0,20976.0,13184,28768,11019.6,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
0.0,41408,3,13802.7,10272.0,9568,21568,6734.2,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
0.0,28576,1,28576.0,28576.0,28576,28576,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
0.0,28000,2,14000.0,14000.0,8928,19072,7172.9,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
0.0,19616,2,9808.0,9808.0,8160,11456,2330.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<long>, at::detail::Array<char *, (int)1>>(int, T2, T3)"
0.0,15488,1,15488.0,15488.0,15488,15488,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f_com
0.0,15424,2,7712.0,7712.0,7392,8032,452.5,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
0.0,11168,1,11168.0,11168.0,11168,11168,0.0,__myl_MovMulMeaAddSqrDivMulMul_0x8c7c765d132892c540be4329124deccc_com_vec
0.0,9216,1,9216.0,9216.0,9216,9216,0.0,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
