Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
3727662496,10727200,683,,,,,,,,,,311.165,28938.338,Device,,Orin (0),1,,13,[CUDA memset]
3738393440,10647104,684,,,,,,,,,,311.165,28938.338,Device,,Orin (0),1,,13,[CUDA memset]
3749046656,52476768,685,,,,,,,,,,311.165,5912.134,Pageable,Device,Orin (0),1,,13,[CUDA memcpy Host-to-Device]
4516149472,30086560,751,,,,,,,,,,880.933,29070.797,Device,,Orin (0),1,,17,[CUDA memset]
4546240000,28476384,752,,,,,,,,,,880.933,30832.664,Device,,Orin (0),1,,17,[CUDA memset]
4574725408,154961536,753,,,,,,,,,,880.933,5285.599,Pageable,Device,Orin (0),1,,17,[CUDA memcpy Host-to-Device]
4750132224,160992,2017,,,,,,,,,,4.793,29771.460,Device,,Orin (0),1,,19,[CUDA memset]
5978129248,8736,2868,,,,,,,,,,0.000,7.326,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
5982157696,6048,2875,,,,,,,,,,0.000,10.582,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
5985865664,5216,2882,,,,,,,,,,0.000,12.270,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
5989631552,5344,2889,,,,,,,,,,0.000,11.976,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
5993309408,5248,2896,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
5996956640,5344,2903,,,,,,,,,,0.000,11.976,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6000613376,5312,2910,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6004253600,5280,2917,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6008087296,5312,2924,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6011725728,5280,2931,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6015450496,5280,2938,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6019032736,5376,2945,,,,,,,,,,0.000,11.905,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6022679072,5248,2952,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6026336640,5280,2959,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6029986496,5248,2966,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6033617152,5312,2973,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6037291648,5376,2980,,,,,,,,,,0.000,11.905,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6041015200,5440,2987,,,,,,,,,,0.000,11.765,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6044654496,5248,2994,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6048327520,5376,3001,,,,,,,,,,0.000,11.905,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6052016256,5376,3008,,,,,,,,,,0.000,11.905,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6055642624,5440,3015,,,,,,,,,,0.000,11.765,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6059343552,5280,3022,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6063022432,5248,3029,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6066835840,5248,3036,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6070856576,5248,3043,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6074564384,5376,3050,,,,,,,,,,0.000,11.905,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6078252352,5312,3057,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6081971712,5216,3064,,,,,,,,,,0.000,12.270,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6085683296,5248,3071,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6089382112,5280,3078,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6093182208,5216,3085,,,,,,,,,,0.000,12.270,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6096914080,5312,3092,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6100805952,5280,3099,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6104520800,5408,3106,,,,,,,,,,0.000,11.834,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6108248896,5280,3113,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6112049600,5248,3120,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6115817216,5408,3127,,,,,,,,,,0.000,11.834,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6119649184,5376,3134,,,,,,,,,,0.000,11.905,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6123407232,5280,3141,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6127158432,5344,3148,,,,,,,,,,0.000,11.976,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6130878560,5312,3155,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6134692128,5248,3162,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6138523552,5280,3169,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6142485824,5312,3176,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6146288480,5216,3183,,,,,,,,,,0.000,12.270,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6150103360,5408,3190,,,,,,,,,,0.000,11.834,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6153880384,5312,3197,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6157682240,5248,3204,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6161444672,5280,3211,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6165288512,5248,3218,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6169182464,5280,3225,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6173005216,5248,3232,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6176798144,5280,3239,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6180637184,5280,3246,,,,,,,,,,0.000,12.121,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
6184414144,5216,3253,,,,,,,,,,0.000,12.270,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
37323379360,30099712,3264,,,,,,,,,,880.937,29070.932,Device,,Orin (0),1,,23,[CUDA memset]
37353483136,20967232,3265,,,,,,,,,,880.937,41404.055,Device,,Orin (0),1,,23,[CUDA memset]
37374454080,148144160,3266,,,,,,,,,,880.937,5285.624,Pageable,Device,Orin (0),1,,23,[CUDA memcpy Host-to-Device]
37562596000,17408,4143,,,,,,,,,,0.156,8941.044,Device,,Orin (0),1,,25,[CUDA memset]
39317899520,5696,4526,,,,,,,,,,0.000,11.236,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39321800768,5760,4533,,,,,,,,,,0.000,11.111,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39328343872,5312,4552,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39332427936,5312,4559,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39336451872,5440,4566,,,,,,,,,,0.000,11.765,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39340096832,5248,4573,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39343919008,5248,4580,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39347429120,5248,4587,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39351168032,5248,4594,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39354660096,5312,4601,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39358389312,5504,4608,,,,,,,,,,0.000,11.628,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39361933088,5312,4615,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39365661536,5248,4622,,,,,,,,,,0.000,12.195,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
39369171968,5312,4629,,,,,,,,,,0.000,12.048,Device,Pageable,Orin (0),1,,7,[CUDA memcpy Device-to-Host]
