Name,Projected Start (ns),Projected Duration (ns),Orig Start (ns),Orig Duration (ns),Style,PID,TID,NumGPUOps,Lvl,NumChild,RangeId,ParentId,RangeStack
myelin-exec:myelinGraphLoadPersistent,5978129248,206290112,5587832032,596910176,StartEnd,687308,687308,56,0,0,9,,:9
myelin-exec:myelinGraphLoadPersistent,39317899520,207184672,38796038496,729754432,StartEnd,687308,687308,56,0,0,13,,:13
TensorRT:ExecutionContext::enqueue,40019154944,15488,40018223680,963168,PushPop,687308,687308,1,0,1,23,,:23
TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]},40019154944,15488,40018851200,328672,PushPop,687308,687308,1,1,1,27,23,:23:27
myelin-exec:myelinGraphExecute ,40019154944,15488,40019086208,74464,StartEnd,687308,687308,1,2,1,33,27,:23:27:33
myelin-exec:__myl_CasGat,40019154944,15488,40019094400,64032,PushPop,687308,687308,1,3,0,35,33,:23:27:33:35
TensorRT:ExecutionContext::enqueue,40030700800,86741536,40028573792,72474496,PushPop,687308,687308,392,0,1,38,,:38
TensorRT:{ForeignNode[/Cast.../Add_111]},40030700800,86741536,40029846400,71155040,PushPop,687308,687308,392,1,1,42,38,:38:42
myelin-exec:myelinGraphExecute ,40030700800,86741536,40030047872,70678528,StartEnd,687308,687308,392,2,392,48,42,:38:42:48
myelin-exec:__myl_RepIotIotRepCasAddCasEqlLtOrSel,40030700800,8384,40030053824,64000,PushPop,687308,687308,1,3,0,50,48,:38:42:48:50
myelin-exec:__myl_MovMulMeaAddSqrDivMulMul,40030713120,11168,40030119840,32096,PushPop,687308,687308,1,3,0,51,48,:38:42:48:51
myelin-exec:/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul,40081427328,300640,40030153728,51145696,PushPop,687308,687308,1,3,0,52,48,:38:42:48:52
myelin-exec:__myl_ResTraResSliRepRes,40081731808,15488,40081309408,36160,PushPop,687308,687308,1,3,0,53,48,:38:42:48:53
myelin-exec:__myl_ResMulMea,40081751040,12256,40081347360,19712,PushPop,687308,687308,1,3,0,54,48,:38:42:48:54
myelin-exec:__myl_ResMulMea,40081767008,9856,40081368576,35712,PushPop,687308,687308,1,3,0,55,48,:38:42:48:55
myelin-exec:__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc,40081780576,28576,40081406112,23488,PushPop,687308,687308,1,3,0,56,48,:38:42:48:56
myelin-exec:_gemm_mha_v2,40081812928,22528,40081430976,18016,PushPop,687308,687308,1,3,0,57,48,:38:42:48:57
myelin-exec:__myl_FcAdd,40082050912,164352,40081450688,599616,PushPop,687308,687308,1,3,0,58,48,:38:42:48:58
myelin-exec:__myl_MulMeaAddSqrDivMulMul,40082219040,14496,40082053376,27424,PushPop,687308,687308,1,3,0,59,48,:38:42:48:59
myelin-exec:/gate_proj/MatMul,40082237216,235776,40082098976,79072,PushPop,687308,687308,1,3,0,61,48,:38:42:48:61
myelin-exec:/up_proj/MatMul,40082480576,236992,40082193696,65504,PushPop,687308,687308,1,3,0,63,48,:38:42:48:63
myelin-exec:__myl_NegExpAddDivMulMul,40082722624,15264,40082273888,24512,PushPop,687308,687308,1,3,0,66,48,:38:42:48:66
myelin-exec:__myl_FcAdd,40082741920,233216,40082300160,175264,PushPop,687308,687308,1,3,0,67,48,:38:42:48:67
myelin-exec:__myl_MulMeaAddSqrDivMulMul,40082981920,14816,40082477856,22496,PushPop,687308,687308,1,3,0,68,48,:38:42:48:68
myelin-exec:/v_proj_1/MatMul+/k_proj_1/MatMul+/q_proj_1/MatMul,40083005152,300256,40082502336,43840,PushPop,687308,687308,1,3,0,69,48,:38:42:48:69
myelin-exec:__myl_ResTraResSliRepRes,40083309472,14976,40082554560,16480,PushPop,687308,687308,1,3,0,71,48,:38:42:48:71
myelin-exec:__myl_ResMulMea,40083332448,11808,40082577600,15360,PushPop,687308,687308,1,3,0,73,48,:38:42:48:73
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes,40083351040,17920,40082594368,20160,PushPop,687308,687308,1,3,0,74,48,:38:42:48:74
myelin-exec:__myl_ResMulMea,40083377024,12544,40082619872,12992,PushPop,687308,687308,1,3,0,76,48,:38:42:48:76
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes,40083395168,13856,40082634368,17600,PushPop,687308,687308,1,3,0,77,48,:38:42:48:77
myelin-exec:_gemm_mha_v2,40083414144,21440,40082657216,12128,PushPop,687308,687308,1,3,0,79,48,:38:42:48:79
myelin-exec:__myl_FcAdd,40083442496,163712,40082671008,171328,PushPop,687308,687308,1,3,0,80,48,:38:42:48:80
myelin-exec:__myl_MulMeaAddSqrDivMulMul,40083610272,14368,40082845152,17376,PushPop,687308,687308,1,3,0,81,48,:38:42:48:81
myelin-exec:/gate_proj_1/MatMul,40083628672,238112,40082870176,43584,PushPop,687308,687308,1,3,0,83,48,:38:42:48:83
myelin-exec:/up_proj_1/MatMul,40083876896,236896,40082920448,55072,PushPop,687308,687308,1,3,0,85,48,:38:42:48:85
myelin-exec:__myl_NegExpAddDivMulMul,40084118720,15200,40082986944,18048,PushPop,687308,687308,1,3,0,88,48,:38:42:48:88
myelin-exec:__myl_FcAdd,40084137920,232960,40083006528,173504,PushPop,687308,687308,1,3,0,89,48,:38:42:48:89
myelin-exec:__myl_MulMeaAddSqrDivMulMul,40084376800,14208,40083182592,19360,PushPop,687308,687308,1,3,0,90,48,:38:42:48:90
myelin-exec:/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul,40084395072,302752,40083203648,47552,PushPop,687308,687308,1,3,0,91,48,:38:42:48:91
myelin-exec:__myl_ResTraResSliRepRes,40084706016,15264,40083258560,15968,PushPop,687308,687308,1,3,0,93,48,:38:42:48:93
myelin-exec:__myl_ResMulMea,40084729920,11328,40083280384,15680,PushPop,687308,687308,1,3,0,95,48,:38:42:48:95
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes,40084748128,17568,40083297472,13824,PushPop,687308,687308,1,3,0,96,48,:38:42:48:96
myelin-exec:__myl_ResMulMea,40084773824,12352,40083316512,12704,PushPop,687308,687308,1,3,0,98,48,:38:42:48:98
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes,40084791808,14848,40083330368,11456,PushPop,687308,687308,1,3,0,99,48,:38:42:48:99
myelin-exec:_gemm_mha_v2,40084815904,22528,40083346304,11904,PushPop,687308,687308,1,3,0,101,48,:38:42:48:101
myelin-exec:__myl_FcAdd,40084844032,163072,40083359904,169280,PushPop,687308,687308,1,3,0,102,48,:38:42:48:102
myelin-exec:__myl_MulMeaAddSqrDivMulMul,40085012832,14176,40083531168,44768,PushPop,687308,687308,1,3,0,103,48,:38:42:48:103
myelin-exec:/gate_proj_2/MatMul,40085030912,236736,40083586400,52704,PushPop,687308,687308,1,3,0,105,48,:38:42:48:105
myelin-exec:/up_proj_2/MatMul,40085275680,237024,40083647104,47040,PushPop,687308,687308,1,3,0,107,48,:38:42:48:107
myelin-exec:__myl_NegExpAddDivMulMul,40085518336,15168,40083707232,19104,PushPop,687308,687308,1,3,0,110,48,:38:42:48:110
myelin-exec:__myl_FcAdd,40085537472,232000,40083728096,158720,PushPop,687308,687308,1,3,0,111,48,:38:42:48:111
myelin-exec:__myl_MulMeaAddSqrDivMulMul,40085776224,13728,40083889152,16736,PushPop,687308,687308,1,3,0,112,48,:38:42:48:112
myelin-exec:/v_proj_3/MatMul+/k_proj_3/MatMul+/q_proj_3/MatMul,40085793952,300192,40083907776,42240,PushPop,687308,687308,1,3,0,113,48,:38:42:48:113
myelin-exec:__myl_ResTraResSliRepRes,40086102816,15136,40083956352,15488,PushPop,687308,687308,1,3,0,115,48,:38:42:48:115
myelin-exec:__myl_ResMulMea,40086126016,11072,40083978272,23264,PushPop,687308,687308,1,3,0,117,48,:38:42:48:117
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes,40086143776,18848,40084002880,16416,PushPop,687308,687308,1,3,0,118,48,:38:42:48:118
myelin-exec:__myl_ResMulMea,40086169344,12448,40084024576,12800,PushPop,687308,687308,1,3,0,120,48,:38:42:48:120
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes,40086187424,13920,40084038496,11104,PushPop,687308,687308,1,3,0,121,48,:38:42:48:121
myelin-exec:_gemm_mha_v2,40086206496,22656,40084053824,11872,PushPop,687308,687308,1,3,0,123,48,:38:42:48:123
myelin-exec:__myl_FcAdd,40086234816,163456,40084067040,168416,PushPop,687308,687308,1,3,0,124,48,:38:42:48:124
myelin-exec:__myl_MulMeaAddSqrDivMulMul,40086406688,14336,40084237856,21184,PushPop,687308,687308,1,3,0,125,48,:38:42:48:125
