Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.6,917266752,327,2805097.1,13120.0,3104,31119488,5184403.2,cudaStreamSynchronize
17.3,598128992,28,21361749.7,978864.0,14080,346429280,69712067.1,cudaMalloc
16.1,557726752,179,3115791.9,36736.0,1184,202551040,22479024.2,cudaMemcpyAsync
12.1,419161472,430,974794.1,119168.0,75456,14043104,1484430.0,cuModuleLoadData
6.4,219926688,434,506743.5,40224.0,29600,2667776,770500.1,cuModuleUnload
6.3,217140128,27,8042227.0,6816.0,2400,97931776,21821822.7,cudaFree
6.0,208562528,12536,16637.1,15744.0,1920,5041920,56234.8,cuLaunchKernelEx
5.7,195225504,14661,13316.0,12512.0,1088,2425312,28878.0,cuLaunchKernel
1.0,34836896,1,34836896.0,34836896.0,34836896,34836896,0.0,cudaGraphInstantiateWithFlags_v11040
0.8,29082240,6,4847040.0,59776.0,21184,28844000,11756080.4,cudaDeviceSynchronize
0.5,16044256,215,74624.4,22848.0,4416,6253376,509312.0,cudaLaunchKernel
0.3,10073952,128,78702.8,3328.0,2080,2101344,302370.0,cudaStreamCreateWithPriority
0.2,8104032,1,8104032.0,8104032.0,8104032,8104032,0.0,cudaGraphExecDestroy_v10000
0.2,6256192,112,55858.9,49808.0,47072,502880,43121.8,cuMemcpyDtoH_v2
0.1,3445024,2078,1657.9,992.0,928,473280,10459.2,cudaEventCreateWithFlags
0.1,2834400,1,2834400.0,2834400.0,2834400,2834400,0.0,cudaGraphDestroy_v10000
0.1,1923264,4,480816.0,317712.0,256928,1030912,370319.1,cuModuleLoadFatBinary
0.1,1844160,2078,887.5,800.0,736,30784,702.8,cudaEventDestroy
0.0,1611968,283,5696.0,5536.0,1568,11200,1652.8,cudaStreamIsCapturing_v10000
0.0,1339008,16,83688.0,29808.0,8032,851424,205597.9,cudaStreamCreate
0.0,878080,20,43904.0,17456.0,608,138784,54090.9,cudaMemsetAsync
0.0,446432,1,446432.0,446432.0,446432,446432,0.0,cudaStreamEndCapture_v10000
0.0,313664,110,2851.5,2736.0,1792,9664,952.6,cuEventRecord
0.0,254208,110,2311.0,2272.0,1504,8480,675.6,cuStreamWaitEvent
0.0,202912,16,12682.0,8896.0,4192,45344,12275.6,cudaStreamDestroy
0.0,171744,1,171744.0,171744.0,171744,171744,0.0,cudaGraphGetNodes_v10000
0.0,171392,410,418.0,320.0,192,4544,321.8,cuGetProcAddress_v2
0.0,119744,6,19957.3,13968.0,5664,39520,14313.1,cuStreamCreate
0.0,108736,115,945.5,512.0,448,17472,2282.2,cuEventCreate
0.0,96640,6,16106.7,16208.0,5024,26368,9152.7,cuStreamDestroy_v2
0.0,69408,115,603.5,384.0,320,4032,608.1,cuEventDestroy_v2
0.0,36160,10,3616.0,3072.0,1280,6624,1821.3,cuCtxSetCurrent
0.0,26816,1,26816.0,26816.0,26816,26816,0.0,cudaStreamBeginCapture_v10000
0.0,10496,1,10496.0,10496.0,10496,10496,0.0,cuInit
0.0,9696,7,1385.1,1152.0,672,3616,1001.0,cuModuleGetLoadingMode
0.0,4224,1,4224.0,4224.0,4224,4224,0.0,cudaStreamGetCaptureInfo_v2_v11030
