engine,operator,matrix_m,matrix_n,matrix_k,precision,frequency,tactics,layer_indices,mapping_evidence
fp16_decode,o_proj,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,28,UNKNOWN_NO_DETAILED_INSPECTOR,10;100;115;130;145;160;175;190;205;220;235;25;250;265;280;295;310;325;340;355;370;385;40;400;415;55;70;85,ENGINE_INSPECTOR_METADATA
fp16_decode,up_proj,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,28,UNKNOWN_NO_DETAILED_INSPECTOR,102;117;12;132;147;162;177;192;207;222;237;252;267;27;282;297;312;327;342;357;372;387;402;417;42;57;72;87,ENGINE_INSPECTOR_METADATA
fp16_decode,v_proj,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,28,UNKNOWN_NO_DETAILED_INSPECTOR,106;121;136;151;16;166;181;196;2;211;226;241;256;271;286;301;31;316;331;346;361;376;391;406;46;61;76;91,ENGINE_INSPECTOR_METADATA
fp16_prefill,gate_proj,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,28,UNKNOWN_NO_DETAILED_INSPECTOR,100;12;122;144;166;188;210;232;254;276;298;320;34;342;364;386;408;430;452;474;496;518;540;56;562;584;606;78,ENGINE_INSPECTOR_METADATA
fp16_prefill,up_proj,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,28,UNKNOWN_NO_DETAILED_INSPECTOR,102;124;14;146;168;190;212;234;256;278;300;322;344;36;366;388;410;432;454;476;498;520;542;564;58;586;608;80,ENGINE_INSPECTOR_METADATA
fp16_prefill,v_proj,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,28,UNKNOWN_NO_DETAILED_INSPECTOR,108;130;152;174;196;20;218;240;262;284;3;306;328;350;372;394;416;42;438;460;482;504;526;548;570;592;64;86,ENGINE_INSPECTOR_METADATA
mixed_decode,ATTENTION_SCORE,UNKNOWN,UNKNOWN,UNKNOWN,FP16,1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,15,ENGINE_INSPECTOR_METADATA
mixed_decode,ATTENTION_VALUE,UNKNOWN,UNKNOWN,UNKNOWN,FP16,1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,18,ENGINE_INSPECTOR_METADATA
mixed_decode,down_proj,1,1024,3072,FP16,28,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,101;126;151;176;201;225;24;250;275;300;325;350;374;399;424;449;474;499;524;53;549;574;599;624;649;674;698;76,ENGINE_INSPECTOR_METADATA
mixed_decode,gate_proj,1,3072,1024,FP16,1,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,697,ENGINE_INSPECTOR_METADATA
mixed_decode,gate_proj,1,3072,1024,INT8,27,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,100;125;150;175;200;224;23;249;274;299;324;349;373;398;423;448;473;498;52;523;548;573;598;623;648;673;75,ENGINE_INSPECTOR_METADATA
mixed_decode,k_proj,1,1024,1024,INT8,27,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,109;134;159;184;209;233;258;283;308;333;34;358;382;407;432;457;482;507;532;557;582;607;632;657;682;8;84,ENGINE_INSPECTOR_METADATA
