engine,layer_index,operator,operator_kind,matrix_m,matrix_n,matrix_k,precision,tactic,input_shapes,output_shapes,onnx_layers,mapping_evidence
fp16_prefill,3,L0:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul_myl0_3,ENGINE_INSPECTOR_METADATA
fp16_prefill,12,L0:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj/MatMul_myl0_12,ENGINE_INSPECTOR_METADATA
fp16_prefill,14,L0:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj/MatMul_myl0_14,ENGINE_INSPECTOR_METADATA
fp16_prefill,20,L1:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_1/MatMul+/k_proj_1/MatMul+/q_proj_1/MatMul_myl0_20,ENGINE_INSPECTOR_METADATA
fp16_prefill,34,L1:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_1/MatMul_myl0_34,ENGINE_INSPECTOR_METADATA
fp16_prefill,36,L1:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_1/MatMul_myl0_36,ENGINE_INSPECTOR_METADATA
fp16_prefill,42,L2:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_2/MatMul+/k_proj_2/MatMul+/q_proj_2/MatMul_myl0_42,ENGINE_INSPECTOR_METADATA
fp16_prefill,56,L2:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_2/MatMul_myl0_56,ENGINE_INSPECTOR_METADATA
fp16_prefill,58,L2:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_2/MatMul_myl0_58,ENGINE_INSPECTOR_METADATA
fp16_prefill,64,L3:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_3/MatMul+/k_proj_3/MatMul+/q_proj_3/MatMul_myl0_64,ENGINE_INSPECTOR_METADATA
fp16_prefill,78,L3:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_3/MatMul_myl0_78,ENGINE_INSPECTOR_METADATA
fp16_prefill,80,L3:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_3/MatMul_myl0_80,ENGINE_INSPECTOR_METADATA
fp16_prefill,86,L4:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_4/MatMul+/k_proj_4/MatMul+/q_proj_4/MatMul_myl0_86,ENGINE_INSPECTOR_METADATA
fp16_prefill,100,L4:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_4/MatMul_myl0_100,ENGINE_INSPECTOR_METADATA
fp16_prefill,102,L4:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_4/MatMul_myl0_102,ENGINE_INSPECTOR_METADATA
fp16_prefill,108,L5:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_5/MatMul+/k_proj_5/MatMul+/q_proj_5/MatMul_myl0_108,ENGINE_INSPECTOR_METADATA
fp16_prefill,122,L5:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_5/MatMul_myl0_122,ENGINE_INSPECTOR_METADATA
fp16_prefill,124,L5:up_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/up_proj_5/MatMul_myl0_124,ENGINE_INSPECTOR_METADATA
fp16_prefill,130,L6:v_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/v_proj_6/MatMul+/k_proj_6/MatMul+/q_proj_6/MatMul_myl0_130,ENGINE_INSPECTOR_METADATA
fp16_prefill,144,L6:gate_proj,LINEAR,UNKNOWN,UNKNOWN,UNKNOWN,FP16_ENGINE_NO_LAYER_TACTIC_DATA,UNKNOWN_NO_DETAILED_INSPECTOR,,,/gate_proj_6/MatMul_myl0_144,ENGINE_INSPECTOR_METADATA
