engine,layer_index,layer_name,layer_type,operator,operator_kind,category,tactic,input_shapes,input_precisions,output_shapes,output_precisions,onnx_layers
fp16_prefill,0,__mye158796_0_myl0_0,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,__mye158796_0_myl0_0
fp16_prefill,1,__myl_RepIotIotRepCasAddCasEqlLtOrSel_myl0_1,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,2,__myl_MovMulMeaAddSqrDivMulMul_myl0_2,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,3,/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul_myl0_3,,L0:v_proj,LINEAR,GEMM,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul_myl0_3
fp16_prefill,4,__myl_ResTraResSliRepRes_myl0_4,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,5,__myl_ResMulMea_myl0_5,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,6,__myl_ResMulMea_myl0_6,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,7,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_myl0_7,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
fp16_prefill,8,_gemm_mha_v2_myl0_8,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,_gemm_mha_v2_myl0_8
fp16_prefill,9,__myl_FcAdd_myl0_9,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NO_DETAILED_INSPECTOR,NONE,NONE,NONE,NONE,UNKNOWN
