layer_id,layer_name,layer_type,precision,input_shape,output_shape,tactic
0,__mye156465_0_myl0_0,shape_call,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
1,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_myl0_1,kgen,inputs=Half;Half;Half;Half;Half|outputs=Int8;Int8;Int8,1x1x1024;1x1x1024;1x1x1024;1x1x1024;1x1x1024,1x1x1024;1x1x1024;1x1x1024,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
2,__mye676844_myl0_2,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
3,__mye676846_myl0_3,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
4,__myl_FcCas_myl0_4,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
5,__myl_ResConResRep_myl0_5,kgen,inputs=Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,1x8x-1x128;1x1x1024;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x8x-1x128;1x8x2x-1x128,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
6,__mye676854_myl0_6,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
7,__mye676848_myl0_7,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
8,__myl_FcCas_myl0_8,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
9,__myl_ResMulMea_myl0_9,kgen,inputs=Half|outputs=Half;Half,1x1x1024,1x1x8x1;1x1x8x128,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
10,__mye676850_myl0_10,signal,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
11,__myl_FcCas_myl0_11,fusion,inputs=Int8;Int8|outputs=Half,1x1x1024;1x1024x2048,1x1x2048,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
12,__myl_ResMulMea_myl0_12,kgen,inputs=Half|outputs=Half;Half,1x1x2048,1x1x16x1;1x1x16x128,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
13,__mye676852_myl0_13,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
14,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_myl0_14,kgen,inputs=Int64;Half;Half;Half;Half;Half;Half;Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half;Half;Half;Half,1x1;1x1x8x1;1x1x16x1;1x1x64;1x1x1x128;1x1x16x128;1x8x-1x128;1x1x1x128;1x1x8x128;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1x1x1x128;1x1x1x128;1x16x1x128;1x8x-1x128;1x16x128x-1,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
15,/MatMul_myl0_15,gemm,inputs=Half;Half;Float;Float|outputs=Half,16x1x128;16x128x-1;1;1,16x1x-1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
16,__myl_MulMaxSubExpSumDivMul_myl0_16,kgen,inputs=Half;Int64;Int64|outputs=Half,1x16x1x-1;1;1,1x16x1x-1,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
17,__mye676856_myl0_17,wait,inputs=NONE|outputs=NONE,NONE,NONE,UNKNOWN
18,/MatMul_1_myl0_18,gemm,inputs=Half;Half;Float;Float|outputs=Half,16x1x-1;16x-1x128;1;1,16x1x128,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2
19,__myl_MulMinMaxRouCas_myl0_19,kgen,inputs=Half|outputs=Int8,16x1x128,16x1x128,__myl_MulMinMaxRouCas_0xa49a3c4e66279a6886312b656336d70d
20,__myl_FcCasAdd_myl0_20,fusion,inputs=Half;Int8;Int8|outputs=Half,1x1x1024;1x1x2048;1x2048x1024,1x1x1024,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
21,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_myl0_21,kgen,inputs=Half;Half;Half;Half|outputs=Int8;Half,1x1x1024;1x1x1024;1x1x1024;1x1x1024,1x1x1024;1x1x1024,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x028e232ad04f9dc415033ab5492ba131
