layer_id,layer_name,layer_type,metadata,input_tensors,output_tensors,precision,tactic_name
0,__mye156465_0_myl0_0,shape_call,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
1,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_myl0_1,kgen,[ONNX Layer: /q_proj/MatMul__a_quant];[ONNX Layer: /k_proj/MatMul__a_quant];[ONNX Layer: /v_proj/MatMul__a_quant];[ONNX Layer: /input_layernorm/Mul];[ONNX Layer: /input_layernorm/Sqrt];[ONNX Layer: /input_layernorm/Div];[ONNX Layer: /input_layernorm/Add];[ONNX Layer: /input_layernorm/ReduceMean];[ONNX Layer: /input_layernorm/Pow],"[{""name"":""hidden_states"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""hidden_states"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye608540_dconst"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye608567_dconst"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye608594_dconst"",""shape"":[1,1,1024],""precision"":""Half""}]","[{""name"":""__myln_k_arg__bb1_2671"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__myln_k_arg__bb1_2670"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__myln_k_arg__bb1_2669"",""shape"":[1,1,1024],""precision"":""Int8""}]",inputs=Half;Half;Half;Half;Half|outputs=Int8;Int8;Int8,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
2,__mye676844_myl0_2,signal,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
3,__mye676846_myl0_3,wait,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
4,__myl_FcCas_myl0_4,fusion,[ONNX Layer: /v_proj/MatMul];[ONNX Layer: /v_proj/MatMul__a_dequant];[ONNX Layer: /v_proj/MatMul__a_quant];[ONNX Layer: /v_proj/MatMul__w_dequant],"[{""name"":""__myln_k_arg__bb1_2671"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye613729dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]","[{""name"":""__myln_k_arg__bb1_2672"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
5,__myl_ResConResRep_myl0_5,kgen,[ONNX Layer: /Reshape_2];[ONNX Layer: /Transpose_2];[ONNX Layer: /Unsqueeze_18];[ONNX Layer: /Expand_1];[ONNX Layer: /Concat_7],"[{""name"":""past_v0"",""shape"":[1,8,-1,128],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2672"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""proxy___mye666994"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye667039"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye667070"",""shape"":[1],""precision"":""Int64""},{""name"":""__mye66760_proxy.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye613866"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye613833"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye613806"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye613773"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye613746"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye431749.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye431722.1"",""shape"":[1],""precision"":""Int64""},{""name"":""__mye66752_proxy.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye431054.1"",""shape"":[1],""precision"":""Int64""},{""name"":""proxy___mye430368.1"",""shape"":[1],""precision"":""Int64""}]","[{""name"":""present_v0"",""shape"":[1,8,-1,128],""precision"":""Half""},{""name"":""/Expand_1_output_0'.1"",""shape"":[1,8,2,-1,128],""precision"":""Half""}]",inputs=Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
6,__mye676854_myl0_6,signal,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
7,__mye676848_myl0_7,wait,,[],[],inputs=NONE|outputs=NONE,UNKNOWN
8,__myl_FcCas_myl0_8,fusion,[ONNX Layer: /k_proj/MatMul];[ONNX Layer: /k_proj/MatMul__a_dequant];[ONNX Layer: /k_proj/MatMul__a_quant];[ONNX Layer: /k_proj/MatMul__w_dequant],"[{""name"":""__myln_k_arg__bb1_2670"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye613887dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]","[{""name"":""__myln_k_arg__bb1_2675"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic
9,__myl_ResMulMea_myl0_9,kgen,[ONNX Layer: /Reshape_1];[ONNX Layer: /k_norm/Pow];[ONNX Layer: /k_norm/ReduceMean],"[{""name"":""__myln_k_arg__bb1_2675"",""shape"":[1,1,1024],""precision"":""Half""}]","[{""name"":""__myln_k_arg__bb1_2677"",""shape"":[1,1,8,1],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2676"",""shape"":[1,1,8,128],""precision"":""Half""}]",inputs=Half|outputs=Half;Half,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
