layer_id,layer_name,trt_layer_type,tactic,precision,candidate_onnx_node,candidate_operator,confidence,evidence
0,__mye156465_0_myl0_0,shape_call,UNKNOWN,inputs=NONE|outputs=NONE,UNKNOWN,UNKNOWN,UNKNOWN,NO_METADATA
1,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_myl0_1,kgen,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac,inputs=Half;Half;Half;Half;Half|outputs=Int8;Int8;Int8,/q_proj/MatMul__a_quant;/k_proj/MatMul__a_quant;/v_proj/MatMul__a_quant;/input_layernorm/Mul;/input_layernorm/Sqrt;/input_layernorm/Div;/input_layernorm/Add;/input_layernorm/ReduceMean;/input_layernorm/Pow,L0:q_proj;L0:k_proj;L0:v_proj;L0:input_layernorm,HIGH,ENGINE_INSPECTOR_METADATA + ONNX_GRAPH_NODE_MATCH + RECOGNIZED_QWEN3_OPERATOR_NAME
2,__mye676844_myl0_2,signal,UNKNOWN,inputs=NONE|outputs=NONE,UNKNOWN,UNKNOWN,UNKNOWN,NO_METADATA
3,__mye676846_myl0_3,wait,UNKNOWN,inputs=NONE|outputs=NONE,UNKNOWN,UNKNOWN,UNKNOWN,NO_METADATA
4,__myl_FcCas_myl0_4,fusion,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,inputs=Int8;Int8|outputs=Half,/v_proj/MatMul;/v_proj/MatMul__a_dequant;/v_proj/MatMul__a_quant;/v_proj/MatMul__w_dequant,L0:v_proj,HIGH,ENGINE_INSPECTOR_METADATA + ONNX_GRAPH_NODE_MATCH + RECOGNIZED_QWEN3_OPERATOR_NAME
5,__myl_ResConResRep_myl0_5,kgen,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1,inputs=Half;Half;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64;Int64|outputs=Half;Half,/Reshape_2;/Transpose_2;/Unsqueeze_18;/Expand_1;/Concat_7,UNKNOWN,MEDIUM,ENGINE_INSPECTOR_METADATA + ONNX_GRAPH_NODE_MATCH + OPERATOR_NAME_NOT_RECOGNIZED
6,__mye676854_myl0_6,signal,UNKNOWN,inputs=NONE|outputs=NONE,UNKNOWN,UNKNOWN,UNKNOWN,NO_METADATA
7,__mye676848_myl0_7,wait,UNKNOWN,inputs=NONE|outputs=NONE,UNKNOWN,UNKNOWN,UNKNOWN,NO_METADATA
8,__myl_FcCas_myl0_8,fusion,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,inputs=Int8;Int8|outputs=Half,/k_proj/MatMul;/k_proj/MatMul__a_dequant;/k_proj/MatMul__a_quant;/k_proj/MatMul__w_dequant,L0:k_proj,HIGH,ENGINE_INSPECTOR_METADATA + ONNX_GRAPH_NODE_MATCH + RECOGNIZED_QWEN3_OPERATOR_NAME
9,__myl_ResMulMea_myl0_9,kgen,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a,inputs=Half|outputs=Half;Half,/Reshape_1;/k_norm/Pow;/k_norm/ReduceMean,L0:k_norm,HIGH,ENGINE_INSPECTOR_METADATA + ONNX_GRAPH_NODE_MATCH + RECOGNIZED_QWEN3_OPERATOR_NAME
