node_index,node_name,op_type,inputs,outputs,shape,initializer_relationship
0,/input_layernorm/Cast,Cast,hidden_states,/input_layernorm/Cast_output_0,UNKNOWN,NONE
1,/input_layernorm/Constant,Constant,NONE,/input_layernorm/Constant_output_0,UNKNOWN,NONE
2,/input_layernorm/Pow,Pow,/input_layernorm/Cast_output_0;/input_layernorm/Constant_output_0,/input_layernorm/Pow_output_0,UNKNOWN,NONE
3,/input_layernorm/ReduceMean,ReduceMean,/input_layernorm/Pow_output_0,/input_layernorm/ReduceMean_output_0,UNKNOWN,NONE
4,/input_layernorm/Constant_1,Constant,NONE,/input_layernorm/Constant_1_output_0,UNKNOWN,NONE
5,/input_layernorm/Add,Add,/input_layernorm/ReduceMean_output_0;/input_layernorm/Constant_1_output_0,/input_layernorm/Add_output_0,UNKNOWN,NONE
6,/input_layernorm/Sqrt,Sqrt,/input_layernorm/Add_output_0,/input_layernorm/Sqrt_output_0,UNKNOWN,NONE
7,/input_layernorm/Constant_2,Constant,NONE,/input_layernorm/Constant_2_output_0,UNKNOWN,NONE
8,/input_layernorm/Div,Div,/input_layernorm/Constant_2_output_0;/input_layernorm/Sqrt_output_0,/input_layernorm/Div_output_0,UNKNOWN,NONE
9,/input_layernorm/Mul,Mul,/input_layernorm/Cast_output_0;/input_layernorm/Div_output_0,/input_layernorm/Mul_output_0,UNKNOWN,NONE
10,/input_layernorm/Cast_1,Cast,/input_layernorm/Mul_output_0,/input_layernorm/Cast_1_output_0,UNKNOWN,NONE
11,/input_layernorm/Mul_1,Mul,stack.layers.0.input_layernorm.weight;/input_layernorm/Cast_1_output_0,/input_layernorm/Mul_1_output_0,UNKNOWN,stack.layers.0.input_layernorm.weight:1024
12,/Shape,Shape,/input_layernorm/Mul_1_output_0,/Shape_output_0,UNKNOWN,NONE
13,/Constant,Constant,NONE,/Constant_output_0,UNKNOWN,NONE
14,/Gather,Gather,/Shape_output_0;/Constant_output_0,/Gather_output_0,UNKNOWN,NONE
15,/Shape_1,Shape,/input_layernorm/Mul_1_output_0,/Shape_1_output_0,UNKNOWN,NONE
16,/Constant_1,Constant,NONE,/Constant_1_output_0,UNKNOWN,NONE
17,/Gather_1,Gather,/Shape_1_output_0;/Constant_1_output_0,/Gather_1_output_0,UNKNOWN,NONE
18,/q_proj/MatMul__a_quant,QuantizeLinear,/input_layernorm/Mul_1_output_0;/q_proj/MatMul__a_scale;/q_proj/MatMul__a_zp,/q_proj/MatMul__a_q,UNKNOWN,/q_proj/MatMul__a_scale:UNKNOWN;/q_proj/MatMul__a_zp:UNKNOWN
19,/q_proj/MatMul__a_dequant,DequantizeLinear,/q_proj/MatMul__a_q;/q_proj/MatMul__a_scale;/q_proj/MatMul__a_zp,/q_proj/MatMul__a_dq,UNKNOWN,/q_proj/MatMul__a_scale:UNKNOWN;/q_proj/MatMul__a_zp:UNKNOWN
20,/q_proj/MatMul__w_dequant,DequantizeLinear,onnx::MatMul_7529;onnx::MatMul_7529__w_scale;onnx::MatMul_7529__w_zp,onnx::MatMul_7529__dq,UNKNOWN,onnx::MatMul_7529:1024x2048;onnx::MatMul_7529__w_scale:UNKNOWN;onnx::MatMul_7529__w_zp:UNKNOWN
21,/q_proj/MatMul,MatMul,/q_proj/MatMul__a_dq;onnx::MatMul_7529__dq,/q_proj/MatMul_output_0,UNKNOWN,NONE
22,Constant_2151,Constant,NONE,onnx::Unsqueeze_391,UNKNOWN,NONE
23,/Unsqueeze,Unsqueeze,/Gather_output_0;onnx::Unsqueeze_391,/Unsqueeze_output_0,UNKNOWN,NONE
24,Constant_2153,Constant,NONE,onnx::Unsqueeze_393,UNKNOWN,NONE
25,/Unsqueeze_1,Unsqueeze,/Gather_1_output_0;onnx::Unsqueeze_393,/Unsqueeze_1_output_0,UNKNOWN,NONE
26,/Constant_2,Constant,NONE,/Constant_2_output_0,UNKNOWN,NONE
27,/Constant_3,Constant,NONE,/Constant_3_output_0,UNKNOWN,NONE
28,/Concat,Concat,/Unsqueeze_output_0;/Unsqueeze_1_output_0;/Constant_2_output_0;/Constant_3_output_0,/Concat_output_0,UNKNOWN,NONE
29,/Reshape,Reshape,/q_proj/MatMul_output_0;/Concat_output_0,/Reshape_output_0,UNKNOWN,NONE
30,/q_norm/Cast,Cast,/Reshape_output_0,/q_norm/Cast_output_0,UNKNOWN,NONE
31,/q_norm/Constant,Constant,NONE,/q_norm/Constant_output_0,UNKNOWN,NONE
32,/q_norm/Pow,Pow,/q_norm/Cast_output_0;/q_norm/Constant_output_0,/q_norm/Pow_output_0,UNKNOWN,NONE
33,/q_norm/ReduceMean,ReduceMean,/q_norm/Pow_output_0,/q_norm/ReduceMean_output_0,UNKNOWN,NONE
34,/q_norm/Constant_1,Constant,NONE,/q_norm/Constant_1_output_0,UNKNOWN,NONE
35,/q_norm/Add,Add,/q_norm/ReduceMean_output_0;/q_norm/Constant_1_output_0,/q_norm/Add_output_0,UNKNOWN,NONE
36,/q_norm/Sqrt,Sqrt,/q_norm/Add_output_0,/q_norm/Sqrt_output_0,UNKNOWN,NONE
37,/q_norm/Constant_2,Constant,NONE,/q_norm/Constant_2_output_0,UNKNOWN,NONE
38,/q_norm/Div,Div,/q_norm/Constant_2_output_0;/q_norm/Sqrt_output_0,/q_norm/Div_output_0,UNKNOWN,NONE
39,/q_norm/Mul,Mul,/q_norm/Cast_output_0;/q_norm/Div_output_0,/q_norm/Mul_output_0,UNKNOWN,NONE
40,/q_norm/Cast_1,Cast,/q_norm/Mul_output_0,/q_norm/Cast_1_output_0,UNKNOWN,NONE
41,/q_norm/Mul_1,Mul,stack.layers.0.self_attn.q_norm.weight;/q_norm/Cast_1_output_0,/q_norm/Mul_1_output_0,UNKNOWN,stack.layers.0.self_attn.q_norm.weight:128
42,/Transpose,Transpose,/q_norm/Mul_1_output_0,/Transpose_output_0,UNKNOWN,NONE
43,/k_proj/MatMul__a_quant,QuantizeLinear,/input_layernorm/Mul_1_output_0;/k_proj/MatMul__a_scale;/k_proj/MatMul__a_zp,/k_proj/MatMul__a_q,UNKNOWN,/k_proj/MatMul__a_scale:UNKNOWN;/k_proj/MatMul__a_zp:UNKNOWN
44,/k_proj/MatMul__a_dequant,DequantizeLinear,/k_proj/MatMul__a_q;/k_proj/MatMul__a_scale;/k_proj/MatMul__a_zp,/k_proj/MatMul__a_dq,UNKNOWN,/k_proj/MatMul__a_scale:UNKNOWN;/k_proj/MatMul__a_zp:UNKNOWN
45,/k_proj/MatMul__w_dequant,DequantizeLinear,onnx::MatMul_7532;onnx::MatMul_7532__w_scale;onnx::MatMul_7532__w_zp,onnx::MatMul_7532__dq,UNKNOWN,onnx::MatMul_7532:1024x1024;onnx::MatMul_7532__w_scale:UNKNOWN;onnx::MatMul_7532__w_zp:UNKNOWN
46,/k_proj/MatMul,MatMul,/k_proj/MatMul__a_dq;onnx::MatMul_7532__dq,/k_proj/MatMul_output_0,UNKNOWN,NONE
47,Constant_2173,Constant,NONE,onnx::Unsqueeze_417,UNKNOWN,NONE
48,/Unsqueeze_2,Unsqueeze,/Gather_output_0;onnx::Unsqueeze_417,/Unsqueeze_2_output_0,UNKNOWN,NONE
49,Constant_2175,Constant,NONE,onnx::Unsqueeze_419,UNKNOWN,NONE
50,/Unsqueeze_3,Unsqueeze,/Gather_1_output_0;onnx::Unsqueeze_419,/Unsqueeze_3_output_0,UNKNOWN,NONE
51,/Constant_4,Constant,NONE,/Constant_4_output_0,UNKNOWN,NONE
52,/Constant_5,Constant,NONE,/Constant_5_output_0,UNKNOWN,NONE
53,/Concat_1,Concat,/Unsqueeze_2_output_0;/Unsqueeze_3_output_0;/Constant_4_output_0;/Constant_5_output_0,/Concat_1_output_0,UNKNOWN,NONE
54,Constant_2180,Constant,NONE,onnx::Unsqueeze_426,UNKNOWN,NONE
55,/Unsqueeze_4,Unsqueeze,/Gather_output_0;onnx::Unsqueeze_426,/Unsqueeze_4_output_0,UNKNOWN,NONE
56,Constant_2182,Constant,NONE,onnx::Unsqueeze_428,UNKNOWN,NONE
57,/Unsqueeze_5,Unsqueeze,/Gather_1_output_0;onnx::Unsqueeze_428,/Unsqueeze_5_output_0,UNKNOWN,NONE
58,/Constant_6,Constant,NONE,/Constant_6_output_0,UNKNOWN,NONE
59,/Constant_7,Constant,NONE,/Constant_7_output_0,UNKNOWN,NONE
60,/Concat_2,Concat,/Unsqueeze_4_output_0;/Unsqueeze_5_output_0;/Constant_6_output_0;/Constant_7_output_0,/Concat_2_output_0,UNKNOWN,NONE
61,/Reshape_1,Reshape,/k_proj/MatMul_output_0;/Concat_1_output_0,/Reshape_1_output_0,UNKNOWN,NONE
62,/k_norm/Cast,Cast,/Reshape_1_output_0,/k_norm/Cast_output_0,UNKNOWN,NONE
63,/k_norm/Constant,Constant,NONE,/k_norm/Constant_output_0,UNKNOWN,NONE
64,/k_norm/Pow,Pow,/k_norm/Cast_output_0;/k_norm/Constant_output_0,/k_norm/Pow_output_0,UNKNOWN,NONE
65,/k_norm/ReduceMean,ReduceMean,/k_norm/Pow_output_0,/k_norm/ReduceMean_output_0,UNKNOWN,NONE
66,/k_norm/Constant_1,Constant,NONE,/k_norm/Constant_1_output_0,UNKNOWN,NONE
67,/k_norm/Add,Add,/k_norm/ReduceMean_output_0;/k_norm/Constant_1_output_0,/k_norm/Add_output_0,UNKNOWN,NONE
68,/k_norm/Sqrt,Sqrt,/k_norm/Add_output_0,/k_norm/Sqrt_output_0,UNKNOWN,NONE
69,/k_norm/Constant_2,Constant,NONE,/k_norm/Constant_2_output_0,UNKNOWN,NONE
70,/k_norm/Div,Div,/k_norm/Constant_2_output_0;/k_norm/Sqrt_output_0,/k_norm/Div_output_0,UNKNOWN,NONE
71,/k_norm/Mul,Mul,/k_norm/Cast_output_0;/k_norm/Div_output_0,/k_norm/Mul_output_0,UNKNOWN,NONE
72,/k_norm/Cast_1,Cast,/k_norm/Mul_output_0,/k_norm/Cast_1_output_0,UNKNOWN,NONE
73,/k_norm/Mul_1,Mul,stack.layers.0.self_attn.k_norm.weight;/k_norm/Cast_1_output_0,/k_norm/Mul_1_output_0,UNKNOWN,stack.layers.0.self_attn.k_norm.weight:128
74,/Transpose_1,Transpose,/k_norm/Mul_1_output_0,/Transpose_1_output_0,UNKNOWN,NONE
75,/v_proj/MatMul__a_quant,QuantizeLinear,/input_layernorm/Mul_1_output_0;/v_proj/MatMul__a_scale;/v_proj/MatMul__a_zp,/v_proj/MatMul__a_q,UNKNOWN,/v_proj/MatMul__a_scale:UNKNOWN;/v_proj/MatMul__a_zp:UNKNOWN
76,/v_proj/MatMul__a_dequant,DequantizeLinear,/v_proj/MatMul__a_q;/v_proj/MatMul__a_scale;/v_proj/MatMul__a_zp,/v_proj/MatMul__a_dq,UNKNOWN,/v_proj/MatMul__a_scale:UNKNOWN;/v_proj/MatMul__a_zp:UNKNOWN
77,/v_proj/MatMul__w_dequant,DequantizeLinear,onnx::MatMul_7537;onnx::MatMul_7537__w_scale;onnx::MatMul_7537__w_zp,onnx::MatMul_7537__dq,UNKNOWN,onnx::MatMul_7537:1024x1024;onnx::MatMul_7537__w_scale:UNKNOWN;onnx::MatMul_7537__w_zp:UNKNOWN
