nvtx_range,source_node_name,kernel_name,kern_instances,total_time_ns,onnx_op_type,operator,trt_layer_id,trt_layer_name,trt_layer_type,tactic,confidence,evidence
myelin-exec:/MatMul,/MatMul,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,7,54984352.0,MatMul,UNKNOWN,15,/MatMul_myl0_15,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul,/MatMul,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,75840.0,MatMul,UNKNOWN,15,/MatMul_myl0_15,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_1,/MatMul_1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,131328.0,MatMul,UNKNOWN,18,/MatMul_1_myl0_18,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_10,/MatMul_10,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,76992.0,MatMul,UNKNOWN,142,/MatMul_10_myl0_142,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_11,/MatMul_11,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,131648.0,MatMul,UNKNOWN,145,/MatMul_11_myl0_145,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_12,/MatMul_12,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,78048.0,MatMul,UNKNOWN,167,/MatMul_12_myl0_167,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_13,/MatMul_13,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,132128.0,MatMul,UNKNOWN,170,/MatMul_13_myl0_170,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_14,/MatMul_14,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,80032.0,MatMul,UNKNOWN,192,/MatMul_14_myl0_192,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_15,/MatMul_15,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,133728.0,MatMul,UNKNOWN,195,/MatMul_15_myl0_195,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_16,/MatMul_16,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,79328.0,MatMul,UNKNOWN,217,/MatMul_16_myl0_217,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_17,/MatMul_17,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,132800.0,MatMul,UNKNOWN,220,/MatMul_17_myl0_220,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_18,/MatMul_18,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,83808.0,MatMul,UNKNOWN,241,/MatMul_18_myl0_241,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_19,/MatMul_19,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,138784.0,MatMul,UNKNOWN,244,/MatMul_19_myl0_244,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_2,/MatMul_2,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,77856.0,MatMul,UNKNOWN,44,/MatMul_2_myl0_44,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_20,/MatMul_20,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97472.0,MatMul,UNKNOWN,266,/MatMul_20_myl0_266,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_21,/MatMul_21,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,157056.0,MatMul,UNKNOWN,269,/MatMul_21_myl0_269,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_22,/MatMul_22,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,98720.0,MatMul,UNKNOWN,291,/MatMul_22_myl0_291,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_23,/MatMul_23,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,158784.0,MatMul,UNKNOWN,294,/MatMul_23_myl0_294,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_24,/MatMul_24,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,97184.0,MatMul,UNKNOWN,316,/MatMul_24_myl0_316,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_25,/MatMul_25,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,157792.0,MatMul,UNKNOWN,319,/MatMul_25_myl0_319,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_26,/MatMul_26,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,98848.0,MatMul,UNKNOWN,341,/MatMul_26_myl0_341,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
myelin-exec:/MatMul_27,/MatMul_27,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,157984.0,MatMul,UNKNOWN,344,/MatMul_27_myl0_344,gemm,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,MEDIUM,NSYS_NVTX_RANGE_EXACT_NODE_PATH + ONNX_NODE_PRESENT + TRT_INSPECTOR_METADATA_EXACT_NODE + OPERATOR_NAME_NOT_RECOGNIZED
