nvtx_range,source_node_names,operator,trt_layer_id,trt_layer_name,kernel_names,kernel_instances,total_time_ns,confidence
myelin-exec:/MatMul,/MatMul,UNKNOWN,15,/MatMul_myl0_15,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt;trt_ampere_h16816gemm_128x64_ldg8_nn_v1,11,55060192.0,MEDIUM
myelin-exec:/MatMul_1,/MatMul_1,UNKNOWN,18,/MatMul_1_myl0_18,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,131328.0,MEDIUM
myelin-exec:/MatMul_10,/MatMul_10,UNKNOWN,142,/MatMul_10_myl0_142,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,76992.0,MEDIUM
myelin-exec:/MatMul_11,/MatMul_11,UNKNOWN,145,/MatMul_11_myl0_145,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,131648.0,MEDIUM
myelin-exec:/MatMul_12,/MatMul_12,UNKNOWN,167,/MatMul_12_myl0_167,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,78048.0,MEDIUM
myelin-exec:/MatMul_13,/MatMul_13,UNKNOWN,170,/MatMul_13_myl0_170,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,132128.0,MEDIUM
myelin-exec:/MatMul_14,/MatMul_14,UNKNOWN,192,/MatMul_14_myl0_192,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,80032.0,MEDIUM
myelin-exec:/MatMul_15,/MatMul_15,UNKNOWN,195,/MatMul_15_myl0_195,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,133728.0,MEDIUM
myelin-exec:/MatMul_16,/MatMul_16,UNKNOWN,217,/MatMul_16_myl0_217,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,79328.0,MEDIUM
myelin-exec:/MatMul_17,/MatMul_17,UNKNOWN,220,/MatMul_17_myl0_220,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,132800.0,MEDIUM
myelin-exec:/MatMul_18,/MatMul_18,UNKNOWN,241,/MatMul_18_myl0_241,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,4,83808.0,MEDIUM
