decoder_layer,onnx_node,trt_layer,input_shape,weight_shape,inspector_weight_shape,output_shape,precision,tactic,shape_match_expected,evidence
0,/up_proj/MatMul,22,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
1,/up_proj_1/MatMul,51,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
2,/up_proj_2/MatMul,74,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
3,/up_proj_3/MatMul,99,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
4,/up_proj_4/MatMul,124,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
5,/up_proj_5/MatMul,149,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
6,/up_proj_6/MatMul,174,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
7,/up_proj_7/MatMul,199,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
8,/up_proj_8/MatMul,223,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
9,/up_proj_9/MatMul,248,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
10,/up_proj_10/MatMul,273,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
11,/up_proj_11/MatMul,298,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
12,/up_proj_12/MatMul,323,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
13,/up_proj_13/MatMul,348,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
14,/up_proj_14/MatMul,372,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
15,/up_proj_15/MatMul,397,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
16,/up_proj_16/MatMul,422,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
17,/up_proj_17/MatMul,447,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
18,/up_proj_18/MatMul,472,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
19,/up_proj_19/MatMul,497,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
20,/up_proj_20/MatMul,522,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
21,/up_proj_21/MatMul,547,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
22,/up_proj_22/MatMul,572,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
23,/up_proj_23/MatMul,597,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
24,/up_proj_24/MatMul,622,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
25,/up_proj_25/MatMul,647,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
26,/up_proj_26/MatMul,672,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
27,/up_proj_27/MatMul,696,1x1x1024,1024x3072,1x1024x3072,1x1x3072,Half/Half/Half,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,TRUE,EngineInspector + ONNX + Phase 4-A.1 HIGH
