compute,heuristic_index,algorithm_id,workspace_bytes,waves_count,mean_ms,median_ms,sample_std_ms,cv,min_ms,max_ms,p95_ms,iterations_per_trial,tflops,max_abs_error,max_rel_error,max_abs_reference,gate_limit,correctness
FP32_ACCUMULATE,4,21,0,0.75,0.080076141,0.080077961,0.000005899,0.000073666,0.080066331,0.080081552,0.080081552,6243,0.078568422,0.000218480,0.000651256,0.663905241,0.001066391,PASS
FP32_ACCUMULATE,0,6,96,3,0.086079868,0.086070888,0.000017309,0.000201079,0.086059690,0.086108111,0.086108111,5808,0.073088588,0.000269801,0.065599844,0.663905241,0.001066391,PASS
FP32_ACCUMULATE,2,21,24576,3,0.095442499,0.095137119,0.000410467,0.004300677,0.095096841,0.095970392,0.095970392,5216,0.065918810,0.000269801,0.134635268,0.663905241,0.001066391,PASS
FP32_ACCUMULATE,3,13,98320,2.4,0.129818893,0.129824430,0.000011563,0.000089069,0.129801884,0.129830599,0.129830599,3851,0.048463331,0.000218480,0.000481628,0.663905241,0.001066391,PASS
FP32_ACCUMULATE,5,13,49168,1.2,0.221291732,0.221288994,0.000013732,0.000062055,0.221269757,0.221313953,0.221313953,2260,0.028430597,0.000218480,0.000481628,0.663905241,0.001066391,PASS
FP32_ACCUMULATE,6,13,0,0.6,0.113627587,0.113622971,0.000011108,0.000097760,0.113617040,0.113644987,0.113644987,4401,0.055369089,0.000218480,0.000481628,0.663905241,0.001066391,PASS
FP32_ACCUMULATE,7,13,0,0.3,0.208275448,0.208271936,0.000017299,0.000083060,0.208253905,0.208300188,0.208300188,2401,0.030207382,0.000218480,0.000481628,0.663905241,0.001066391,PASS
FP32_ACCUMULATE,1,13,24592,16,0.503186345,0.503315985,0.000637946,0.001267812,0.502160192,0.504097044,0.504097044,997,0.012503233,0.000218480,0.000481628,0.663905241,0.001066391,PASS
FP16_ACCUMULATE,4,21,0,0.75,0.078483504,0.078480855,0.000009222,0.000117506,0.078472696,0.078494720,0.078494720,6371,0.080162782,0.002110384,0.978537944,0.663905241,0.001066391,FAIL
FP16_ACCUMULATE,0,6,0,1.5,0.080929192,0.080929004,0.000010555,0.000130418,0.080912083,0.080944642,0.080944642,6178,0.077740255,0.002110384,0.978537944,0.663905241,0.001066391,FAIL
FP16_ACCUMULATE,1,6,0,1.5,0.080946120,0.080946326,0.000003745,0.000046268,0.080940597,0.080950513,0.080950513,6178,0.077723997,0.002110384,0.978537944,0.663905241,0.001066391,FAIL
FP16_ACCUMULATE,6,6,0,0.5,0.078969872,0.078978784,0.000017720,0.000224396,0.078941301,0.078991175,0.078991175,6329,0.079669066,0.002110384,0.978537944,0.663905241,0.001066391,FAIL
FP16_ACCUMULATE,7,5,0,0.75,0.079246598,0.079250991,0.000011278,0.000142314,0.079226948,0.079259835,0.079259835,6311,0.079390866,0.002110384,0.978537944,0.663905241,0.001066391,FAIL
FP16_ACCUMULATE,5,6,0,1.5,0.084228198,0.084228426,0.000007479,0.000088799,0.084215142,0.084239729,0.084239729,5933,0.074695365,0.002110384,0.978537944,0.663905241,0.001066391,FAIL
FP16_ACCUMULATE,3,21,48,1.5,0.084619196,0.084619738,0.000014774,0.000174593,0.084596299,0.084638782,0.084638782,5906,0.074350222,0.001501896,1.787175012,0.663905241,0.001066391,FAIL
FP16_ACCUMULATE,2,6,12288,3,0.100625641,0.100611702,0.000024844,0.000246894,0.100597233,0.100656614,0.100656614,4970,0.062523388,0.001501896,1.787175012,0.663905241,0.001066391,FAIL
