candidate_id,configuration,threadblock,warp,stages,split_k_slices,mean_ms,median_ms,sample_std_ms,cv,min_ms,max_ms,p95_ms,iterations_per_trial,tflops,max_abs_error,max_rel_error,max_abs_reference,gate_limit,correctness
1,TensorOp_16x8x16_tb32x32x64_warp32x32x64_s4,32x32x64,32x32x64,4,1,0.083616242,0.083619133,0.000008755,0.000104699,0.083604395,0.083627254,0.083627254,5984,0.075242033,0.000218480,0.000651256,0.663905241,0.001066391,PASS
5,TensorOp_16x8x16_tb64x64x64_warp32x32x64_s4,64x64x64,32x32x64,4,1,0.083620953,0.083615869,0.000013840,0.000165505,0.083603829,0.083639957,0.083639957,5976,0.075237794,0.000218480,0.000651256,0.663905241,0.001066391,PASS
6,TensorOp_16x8x16_tb64x64x64_warp32x32x64_s4,64x64x64,32x32x64,4,2,0.098242945,0.098242879,0.000009418,0.000095866,0.098226480,0.098257534,0.098257534,5090,0.064039774,0.000269801,0.065599844,0.663905241,0.001066391,PASS
9,TensorOp_16x8x16_tb128x64x64_warp64x32x64_s5,128x64x64,64x32x64,5,1,0.104771701,0.104759902,0.000049061,0.000468264,0.104729965,0.104876801,0.104876801,4772,0.060049192,0.000218480,0.000651256,0.663905241,0.001066391,PASS
2,TensorOp_16x8x16_tb32x32x64_warp32x32x64_s4,32x32x64,32x32x64,4,2,0.101609273,0.101832323,0.000404757,0.003983463,0.101012781,0.101876520,0.101876520,4912,0.061918129,0.000269801,0.065599844,0.663905241,0.001066391,PASS
7,TensorOp_16x8x16_tb64x64x64_warp32x32x64_s4,64x64x64,32x32x64,4,4,0.120762442,0.120749414,0.000034086,0.000282255,0.120723814,0.120829009,0.120829009,4138,0.052097787,0.000285620,0.145567537,0.663905241,0.001066391,PASS
3,TensorOp_16x8x16_tb32x32x64_warp32x32x64_s4,32x32x64,32x32x64,4,4,0.120020435,0.120050550,0.000061865,0.000515452,0.119937971,0.120078497,0.120078497,4156,0.052419873,0.000285620,0.145567537,0.663905241,0.001066391,PASS
4,TensorOp_16x8x16_tb32x32x64_warp32x32x64_s4,32x32x64,32x32x64,4,8,0.151582631,0.151582897,0.000034781,0.000229450,0.151524425,0.151639730,0.151639730,3296,0.041505125,0.000446802,0.325293800,0.663905241,0.001066391,PASS
8,TensorOp_16x8x16_tb64x64x64_warp32x32x64_s4,64x64x64,32x32x64,4,8,0.165320437,0.165319443,0.000030221,0.000182802,0.165279701,0.165372878,0.165372878,3024,0.038056130,0.000446802,0.325293800,0.663905241,0.001066391,PASS
10,TensorOp_16x8x16_tb128x64x64_warp64x32x64_s5,128x64x64,64x32x64,5,4,0.221922730,0.221922576,0.000030916,0.000139308,0.221882522,0.221964762,0.221964762,2254,0.028349759,0.000285620,0.145567537,0.663905241,0.001066391,PASS
