invocation_index,layer_index,layer_name,nvtx_start_ns,nvtx_end_ns,nvtx_duration_ns,correlation_id,kernel_family,kernel_name,kernel_start_ns,kernel_end_ns,kernel_duration_ns,kernel_overlap_with_nvtx_ns,kernel_after_nvtx_end_ns,kernel_before_nvtx_start_ns,kernel_launch_api,kernel_launch_api_duration_ns
1,0,/up_proj/MatMul,10736829376,10786304192,49474816,8021,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10786801280,10787054912,253632,0,750720,0,cudaLaunchKernel_v7000,49372288
1,1,/up_proj_1/MatMul,10787906912,10788069536,162624,8064,h16816,trt_ampere_h16816gemm_256x64_ldg8_tn_v1,10788073248,10788308096,234848,0,238560,0,cudaLaunchKernel_v7000,20224
1,2,/up_proj_2/MatMul,10788856992,10788904416,47424,8096,h16816,trt_ampere_h16816gemm_256x64_ldg8_tn_v1,10789264928,10789499488,234560,0,595072,0,cudaLaunchKernel_v7000,16448
1,3,/up_proj_3/MatMul,10790121312,10790175264,53952,8134,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10790379040,10790632768,253728,0,457504,0,cudaLaunchKernel_v7000,19424
1,4,/up_proj_4/MatMul,10791425472,10791475232,49760,8172,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10791509056,10791778752,269696,0,303520,0,cudaLaunchKernel_v7000,17760
1,5,/up_proj_5/MatMul,10792662496,10792709888,47392,8210,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10792742272,10792986400,244128,0,276512,0,cudaLaunchKernel_v7000,15840
1,6,/up_proj_6/MatMul,10793890176,10793933472,43296,8248,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10793976608,10794214176,237568,0,280704,0,cudaLaunchKernel_v7000,17120
1,7,/up_proj_7/MatMul,10795157920,10795203712,45792,8286,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10795239968,10795506016,266048,0,302304,0,cudaLaunchKernel_v7000,18752
1,8,/up_proj_8/MatMul,10796449056,10796498240,49184,8326,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10796621504,10796887968,266464,0,389728,0,cudaLaunchKernel_v7000,16928
1,9,/up_proj_9/MatMul,10797674272,10797720864,46592,8364,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10797761024,10798023872,262848,0,303008,0,cudaLaunchKernel_v7000,20608
1,10,/up_proj_10/MatMul,10798917344,10798960672,43328,8402,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10799002400,10799267680,265280,0,307008,0,cudaLaunchKernel_v7000,15168
1,11,/up_proj_11/MatMul,10800208672,10800260096,51424,8440,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10800294144,10800554464,260320,0,294368,0,cudaLaunchKernel_v7000,23488
1,12,/up_proj_12/MatMul,10801449472,10801495744,46272,8478,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10801534464,10801795648,261184,0,299904,0,cudaLaunchKernel_v7000,19424
1,13,/up_proj_13/MatMul,10802670720,10802717120,46400,8516,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10802756704,10803012832,256128,0,295712,0,cudaLaunchKernel_v7000,18272
1,14,/up_proj_14/MatMul,10803961408,10804006496,45088,8556,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10804120800,10804372736,251936,0,366240,0,cudaLaunchKernel_v7000,16768
1,15,/up_proj_15/MatMul,10805230944,10805280896,49952,8594,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10805295168,10805554688,259520,0,273792,0,cudaLaunchKernel_v7000,15744
1,16,/up_proj_16/MatMul,10806533056,10806582464,49408,8632,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10806620384,10806876384,256000,0,293920,0,cudaLaunchKernel_v7000,16000
1,17,/up_proj_17/MatMul,10807899968,10807951872,51904,8670,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10807973472,10808241568,268096,0,289696,0,cudaLaunchKernel_v7000,21088
1,18,/up_proj_18/MatMul,10809204192,10809253984,49792,8708,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10809281600,10809530144,248544,0,276160,0,cudaLaunchKernel_v7000,18048
1,19,/up_proj_19/MatMul,10810526880,10810579520,52640,8746,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10810604160,10810849280,245120,0,269760,0,cudaLaunchKernel_v7000,21248
1,20,/up_proj_20/MatMul,10811849248,10811902816,53568,8784,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10811933856,10812182784,248928,0,279968,0,cudaLaunchKernel_v7000,26112
1,21,/up_proj_21/MatMul,10813157280,10813203520,46240,8822,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10813242624,10813510272,267648,0,306752,0,cudaLaunchKernel_v7000,16064
1,22,/up_proj_22/MatMul,10814478752,10814532160,53408,8860,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10814560576,10814827168,266592,0,295008,0,cudaLaunchKernel_v7000,20480
1,23,/up_proj_23/MatMul,10815835616,10815896096,60480,8898,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10815906592,10816171616,265024,0,275520,0,cudaLaunchKernel_v7000,27264
1,24,/up_proj_24/MatMul,10817177952,10817235264,57312,8936,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10817262816,10817528672,265856,0,293408,0,cudaLaunchKernel_v7000,25664
1,25,/up_proj_25/MatMul,10818464960,10818514784,49824,8974,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10818547840,10818810432,262592,0,295648,0,cudaLaunchKernel_v7000,17152
1,26,/up_proj_26/MatMul,10819843744,10819892512,48768,9012,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10819929824,10820190656,260832,0,298144,0,cudaLaunchKernel_v7000,15552
1,27,/up_proj_27/MatMul,10821218400,10821264992,46592,9055,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10821582720,10821841536,258816,0,576544,0,cudaLaunchKernel_v7000,24896
2,0,/up_proj/MatMul,10845960320,10845993824,33504,9755,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10846670944,10846927072,256128,0,933248,0,cudaLaunchKernel_v7000,20416
2,1,/up_proj_1/MatMul,10846407360,10846446944,39584,9785,h16816,trt_ampere_h16816gemm_256x64_ldg8_tn_v1,10847877504,10848113024,235520,0,1666080,0,cudaLaunchKernel_v7000,21312
2,2,/up_proj_2/MatMul,10846807136,10846833280,26144,9810,h16816,trt_ampere_h16816gemm_256x64_ldg8_tn_v1,10849125184,10849363168,237984,0,2529888,0,cudaLaunchKernel_v7000,14400
2,3,/up_proj_3/MatMul,10847206176,10847230496,24320,9835,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10850268832,10850530496,261664,0,3300000,0,cudaLaunchKernel_v7000,14688
2,4,/up_proj_4/MatMul,10847659008,10847685664,26656,9860,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10851424160,10851689504,265344,0,4003840,0,cudaLaunchKernel_v7000,18240
2,5,/up_proj_5/MatMul,10848073728,10848102720,28992,9885,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10852594368,10852840512,246144,0,4737792,0,cudaLaunchKernel_v7000,19872
2,6,/up_proj_6/MatMul,10848487008,10848508288,21280,9910,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10853742016,10853983776,241760,0,5475488,0,cudaLaunchKernel_v7000,12960
2,7,/up_proj_7/MatMul,10848880832,10848902272,21440,9935,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10854878624,10855150144,271520,0,6247872,0,cudaLaunchKernel_v7000,12736
