decoder_layer,trt_layer_id,trt_layer_name,trt_layer_type,onnx_node,operator,attribution_confidence,input_shape,input_precision,weight_shape,weight_precision,output_shape,output_precision,alpha_beta_precision,alpha_beta_values,inspector_implementation_evidence,tactic_name,tactic_id,runtime_kernel_name_counts,kernel_name,kernel_family,tensor_core_usage_tactic_label,tensor_core_usage_direct_measurement,workspace,cuBLASLt_algorithm,cuBLASLt_workspace_bytes,backend_identity,comparison_status,evidence
0,22,/up_proj/MatMul_myl0_22,gemm,/up_proj/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
1,51,/up_proj_1/MatMul_myl0_51,gemm,/up_proj_1/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_256x64_ldg8_tn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
2,74,/up_proj_2/MatMul_myl0_74,gemm,/up_proj_2/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_256x64_ldg8_tn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
3,99,/up_proj_3/MatMul_myl0_99,gemm,/up_proj_3/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
4,124,/up_proj_4/MatMul_myl0_124,gemm,/up_proj_4/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
5,149,/up_proj_5/MatMul_myl0_149,gemm,/up_proj_5/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
6,174,/up_proj_6/MatMul_myl0_174,gemm,/up_proj_6/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
7,199,/up_proj_7/MatMul_myl0_199,gemm,/up_proj_7/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
8,223,/up_proj_8/MatMul_myl0_223,gemm,/up_proj_8/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
9,248,/up_proj_9/MatMul_myl0_248,gemm,/up_proj_9/MatMul,up_proj,HIGH,"[1,1,1024]",1x1x1024|Half,"[1,1024,3072]",1x1024x3072|Half,"[1,1,3072]",1x1x3072|Half,Float;Float,UNKNOWN,TACTIC_NAME_ONLY,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,NOT_AVAILABLE,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt=4;trt_ampere_h16816gemm_128x64_ldg8_nn_v1=3,OBSERVED_MULTIPLE_BY_INVOCATION,h16816=3;sm80_xmma_gemm=4,TENSOR16X8X16_LABEL_PRESENT,NOT_AVAILABLE_FOR_ALL_28_ROWS; PHASE_3E_SELECTED_KERNEL_SAMPLES_ONLY,NOT_AVAILABLE,21,0,UNKNOWN,NOT_PAIRED_BENCHMARK; BOUNDARY_AND_CONTEXT_MISMATCH,PHASE4A_INSPECTOR_METADATA+ONNX_NODE_MATCH; PHASE5A_RUNTIME_KERNEL_BREAKDOWN
