metric,unit,cublaslt_algo21,trt_f16f16_execute_kernel_trt,difference_cublaslt_minus_trt
duration,us,242.912000,244.160000,-1.248000
sm_frequency,MHz,305.830000,305.750000,0.080000
compute_sm_throughput,pct,34.147087,25.515291,8.631796
memory_l2_throughput,pct,76.060000,76.920000,-0.860000
l1_tex_throughput,pct,21.970000,57.680000,-35.710000
tensor_cycles_active,pct,35.537047,17.886626,17.650421
hmma_instruction_active,pct,8.884262,4.471656,4.412606
l2_hit_rate,pct,0.546464,3.161875,-2.615411
theoretical_occupancy,pct,16.670000,25.000000,-8.330000
achieved_occupancy,pct,12.950000,23.700000,-10.750000
registers_per_thread,register/thread,218,50,168
shared_memory_per_block,Kbyte/block,82.944000,50.176000,32.768000
grid_size,blocks,16,96,-80
block_size,threads,128,128,0
waves_per_sm,waves,1,4,-3
issued_warp_per_scheduler,ratio,0.120000,0.270000,-0.150000
eligible_warps_per_scheduler,warp,0.120000,0.320000,-0.200000
warp_cycles_per_issued_instruction,cycle,12.980000,10.680000,2.300000
long_scoreboard_stall_ratio,ratio,7.140229,6.022843,1.117386
math_pipe_throttle_stall_ratio,ratio,0.106216,0.111322,-0.005106
wait_stall_ratio,ratio,2.503743,0.871092,1.632651
not_selected_stall_ratio,ratio,0.050872,0.196999,-0.146127
mio_throttle_stall_ratio,ratio,0.083025,0.178893,-0.095868
lg_throttle_stall_ratio,ratio,0.049913,0.029640,0.020273
no_instruction_stall_ratio,ratio,0.348398,0.135771,0.212627
selected_stall_ratio,ratio,0.999996,0.999958,0.000038
direct_dram_throughput,N/A,N/A,N/A,N/A
