candidate_id,trt_layer_name,onnx_node_name,onnx_node_index,op_type,input_0,input_1,output,input_0_shape,input_1_shape,output_shape,dtype,decoder_layer,runtime_context,historical_calls,historical_total_time,historical_mean_time,historical_measurement_boundary,source_artifact,confidence,notes
P6A_001,/MatMul_myl0_15,/MatMul,3,MatMul,/Add_output_0'.1[16x1x128],shuffle_output_/Reshape_4 _ /Transpose_3_first_transpose_output.1[16x128x-1],__mye567707[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,0,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,11,55060192 ns,5005472.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=2; kernels=trt_ampere_h16816gemm_128x64_ldg8_nn_v1;sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=75840 ns
P6A_002,/MatMul_1_myl0_18,/MatMul_1,1,MatMul,/Softmax_output'.1[16x1x-1],/Expand_1_output_0'.1[16x-1x128],__myln_k_arg__bb1_2688[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,0,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,131328 ns,32832.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=131328 ns
P6A_003,/MatMul_2_myl0_44,/MatMul_2,2,MatMul,/Add_4_output_0'.1[16x1x128],shuffle_output_/Reshape_12 _ /Transpose_8_first_transpose_output.1[16x128x-1],__mye567826[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,1,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,77856 ns,19464.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=77856 ns
P6A_004,/MatMul_3_myl0_47,/MatMul_3,3,MatMul,/Softmax_1_output'.1[16x1x-1],/Expand_3_output_0'.1[16x-1x128],__myln_k_arg__bb1_2713[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,1,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,130368 ns,32592.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=130368 ns
P6A_005,/MatMul_4_myl0_67,/MatMul_4,4,MatMul,/Add_8_output_0'.1[16x1x128],shuffle_output_/Reshape_20 _ /Transpose_13_first_transpose_output.1[16x128x-1],__mye567945[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,2,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,75136 ns,18784.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=75136 ns
P6A_006,/MatMul_5_myl0_70,/MatMul_5,5,MatMul,/Softmax_2_output'.1[16x1x-1],/Expand_5_output_0'.1[16x-1x128],__myln_k_arg__bb1_2734[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,2,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,130304 ns,32576.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=130304 ns
P6A_007,/MatMul_6_myl0_92,/MatMul_6,6,MatMul,/Add_12_output_0'.1[16x1x128],shuffle_output_/Reshape_28 _ /Transpose_18_first_transpose_output.1[16x128x-1],__mye568064[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,3,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,77792 ns,19448.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=77792 ns
P6A_008,/MatMul_7_myl0_95,/MatMul_7,7,MatMul,/Softmax_3_output'.1[16x1x-1],/Expand_7_output_0'.1[16x-1x128],__myln_k_arg__bb1_2759[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,3,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,132224 ns,33056.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=132224 ns
P6A_009,/MatMul_8_myl0_117,/MatMul_8,8,MatMul,/Add_16_output_0'.1[16x1x128],shuffle_output_/Reshape_36 _ /Transpose_23_first_transpose_output.1[16x128x-1],__mye568183[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,4,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,79136 ns,19784.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=79136 ns
P6A_010,/MatMul_9_myl0_120,/MatMul_9,9,MatMul,/Softmax_4_output'.1[16x1x-1],/Expand_9_output_0'.1[16x-1x128],__myln_k_arg__bb1_2784[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,4,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,129728 ns,32432.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=129728 ns
P6A_011,/MatMul_10_myl0_142,/MatMul_10,10,MatMul,/Add_20_output_0'.1[16x1x128],shuffle_output_/Reshape_44 _ /Transpose_28_first_transpose_output.1[16x128x-1],__mye568302[16x1x-1],16x1x128,16x128x-1,16x1x-1,Half/Half->Half,5,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,76992 ns,19248.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=76992 ns
P6A_012,/MatMul_11_myl0_145,/MatMul_11,11,MatMul,/Softmax_5_output'.1[16x1x-1],/Expand_11_output_0'.1[16x-1x128],__myln_k_arg__bb1_2809[16x1x128],16x1x-1,16x-1x128,16x1x128,Half/Half->Half,5,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,4,131648 ns,32912.000 ns,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,HIGH,kernel rows=1; kernels=sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt; tactic-consistent time=131648 ns
