candidate_id,onnx_node,decoder_layer,semantic_identity,runtime_rows,calls,all_rows_total_time_ns,tactic_consistent_calls,tactic_consistent_total_time_ns,gpu_total_time_ns,all_rows_gpu_share,tactic_consistent_gpu_share,measurement_boundary,notes
P6A_001,/MatMul,0,QK^T,2,11,55060192,4,75840,230950048,23.840736%,0.032838%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_002,/MatMul_1,0,Attention_x_V,1,4,131328,4,131328,230950048,0.056864%,0.056864%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_003,/MatMul_2,1,QK^T,1,4,77856,4,77856,230950048,0.033711%,0.033711%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_004,/MatMul_3,1,Attention_x_V,1,4,130368,4,130368,230950048,0.056449%,0.056449%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_005,/MatMul_4,2,QK^T,1,4,75136,4,75136,230950048,0.032533%,0.032533%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_006,/MatMul_5,2,Attention_x_V,1,4,130304,4,130304,230950048,0.056421%,0.056421%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_007,/MatMul_6,3,QK^T,1,4,77792,4,77792,230950048,0.033683%,0.033683%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_008,/MatMul_7,3,Attention_x_V,1,4,132224,4,132224,230950048,0.057252%,0.057252%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_009,/MatMul_8,4,QK^T,1,4,79136,4,79136,230950048,0.034265%,0.034265%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_010,/MatMul_9,4,Attention_x_V,1,4,129728,4,129728,230950048,0.056171%,0.056171%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_011,/MatMul_10,5,QK^T,1,4,76992,4,76992,230950048,0.033337%,0.033337%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_012,/MatMul_11,5,Attention_x_V,1,4,131648,4,131648,230950048,0.057003%,0.057003%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_013,/MatMul_12,6,QK^T,1,4,78048,4,78048,230950048,0.033794%,0.033794%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_014,/MatMul_13,6,Attention_x_V,1,4,132128,4,132128,230950048,0.057211%,0.057211%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_015,/MatMul_14,7,QK^T,1,4,80032,4,80032,230950048,0.034653%,0.034653%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_016,/MatMul_15,7,Attention_x_V,1,4,133728,4,133728,230950048,0.057903%,0.057903%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_017,/MatMul_16,8,QK^T,1,4,79328,4,79328,230950048,0.034349%,0.034349%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
P6A_018,/MatMul_17,8,Attention_x_V,1,4,132800,4,132800,230950048,0.057502%,0.057502%,PHASE3C_MIXED_PERSISTENT_NSYS_NVTX_KERNEL_MAPPING_ALL_TRACE,"do not compare to CUDA Event, IProfiler, or NCU durations directly"
