candidate_id,onnx_node,decoder_layer,onnx_semantic_identity,prefill_trt_layer,prefill_fusion_status,decode_trt_layer,decode_fusion_status,runtime_implementation_identity,evidence,confidence
P6A_001,/MatMul,0,QK^T,_gemm_mha_v2_myl0_17,FUSED_INTO_gemm_mha_v2,/MatMul_myl0_15,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul; decode EngineInspector metadata=/MatMul,HIGH
P6A_002,/MatMul_1,0,Attention_x_V,_gemm_mha_v2_myl0_17,FUSED_INTO_gemm_mha_v2,/MatMul_1_myl0_18,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_1; decode EngineInspector metadata=/MatMul_1,HIGH
P6A_003,/MatMul_2,1,QK^T,_gemm_mha_v2_myl0_44,FUSED_INTO_gemm_mha_v2,/MatMul_2_myl0_44,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_2; decode EngineInspector metadata=/MatMul_2,HIGH
P6A_004,/MatMul_3,1,Attention_x_V,_gemm_mha_v2_myl0_44,FUSED_INTO_gemm_mha_v2,/MatMul_3_myl0_47,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_3; decode EngineInspector metadata=/MatMul_3,HIGH
P6A_005,/MatMul_4,2,QK^T,_gemm_mha_v2_myl0_65,FUSED_INTO_gemm_mha_v2,/MatMul_4_myl0_67,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_4; decode EngineInspector metadata=/MatMul_4,HIGH
P6A_006,/MatMul_5,2,Attention_x_V,_gemm_mha_v2_myl0_65,FUSED_INTO_gemm_mha_v2,/MatMul_5_myl0_70,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_5; decode EngineInspector metadata=/MatMul_5,HIGH
P6A_007,/MatMul_6,3,QK^T,_gemm_mha_v2_myl0_88,FUSED_INTO_gemm_mha_v2,/MatMul_6_myl0_92,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_6; decode EngineInspector metadata=/MatMul_6,HIGH
P6A_008,/MatMul_7,3,Attention_x_V,_gemm_mha_v2_myl0_88,FUSED_INTO_gemm_mha_v2,/MatMul_7_myl0_95,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_7; decode EngineInspector metadata=/MatMul_7,HIGH
P6A_009,/MatMul_8,4,QK^T,_gemm_mha_v2_myl0_111,FUSED_INTO_gemm_mha_v2,/MatMul_8_myl0_117,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_8; decode EngineInspector metadata=/MatMul_8,HIGH
P6A_010,/MatMul_9,4,Attention_x_V,_gemm_mha_v2_myl0_111,FUSED_INTO_gemm_mha_v2,/MatMul_9_myl0_120,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_9; decode EngineInspector metadata=/MatMul_9,HIGH
P6A_011,/MatMul_10,5,QK^T,_gemm_mha_v2_myl0_134,FUSED_INTO_gemm_mha_v2,/MatMul_10_myl0_142,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_10; decode EngineInspector metadata=/MatMul_10,HIGH
P6A_012,/MatMul_11,5,Attention_x_V,_gemm_mha_v2_myl0_134,FUSED_INTO_gemm_mha_v2,/MatMul_11_myl0_145,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_11; decode EngineInspector metadata=/MatMul_11,HIGH
P6A_013,/MatMul_12,6,QK^T,_gemm_mha_v2_myl0_157,FUSED_INTO_gemm_mha_v2,/MatMul_12_myl0_167,STANDALONE_ONNX_NAMED_GEMM_LAYER,PREFILL_FUSED;DECODE_STANDALONE;CUDA_KERNEL_SEMANTICS_UNKNOWN,prefill EngineInspector metadata=/MatMul_12; decode EngineInspector metadata=/MatMul_12,HIGH
