candidate_id,onnx_node,hop_direction,hop_distance,neighbor_node,neighbor_op_type,neighbor_inputs,neighbor_outputs,shape,semantic_role,evidence
P6A_001,/MatMul,upstream,1,/MatMul,MatMul,/Add_output_0;/Transpose_3_output_0,/MatMul_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Add_output_0,/Transpose_3_output_0"
P6A_001,/MatMul,upstream,2,/MatMul,MatMul,/Add_output_0;/Transpose_3_output_0,/MatMul_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Add_output_0,/Transpose_3_output_0"
P6A_001,/MatMul,upstream,3,/MatMul,MatMul,/Add_output_0;/Transpose_3_output_0,/MatMul_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Add_output_0,/Transpose_3_output_0"
P6A_002,/MatMul_1,upstream,1,/MatMul_1,MatMul,/Cast_8_output_0;/Reshape_6_output_0,/MatMul_1_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Cast_8_output_0,/Reshape_6_output_0"
P6A_002,/MatMul_1,upstream,2,/MatMul_1,MatMul,/Cast_8_output_0;/Reshape_6_output_0,/MatMul_1_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Cast_8_output_0,/Reshape_6_output_0"
P6A_002,/MatMul_1,upstream,3,/MatMul_1,MatMul,/Cast_8_output_0;/Reshape_6_output_0,/MatMul_1_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Cast_8_output_0,/Reshape_6_output_0"
P6A_003,/MatMul_2,upstream,1,/MatMul_2,MatMul,/Add_4_output_0;/Transpose_8_output_0,/MatMul_2_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Add_4_output_0,/Transpose_8_output_0"
P6A_003,/MatMul_2,upstream,2,/MatMul_2,MatMul,/Add_4_output_0;/Transpose_8_output_0,/MatMul_2_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Add_4_output_0,/Transpose_8_output_0"
P6A_003,/MatMul_2,upstream,3,/MatMul_2,MatMul,/Add_4_output_0;/Transpose_8_output_0,/MatMul_2_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Add_4_output_0,/Transpose_8_output_0"
P6A_004,/MatMul_3,upstream,1,/MatMul_3,MatMul,/Cast_14_output_0;/Reshape_14_output_0,/MatMul_3_output_0,UNKNOWN,UNKNOWN,"ONNX_NODE_INVENTORY_TENSOR_EDGE via /Cast_14_output_0,/Reshape_14_output_0"
