candidate_id,semantic_identity,prefill_present,decode_present,prefill_evidence,decode_evidence,runtime_context,confidence,notes
P6A_001,QK^T,YES,YES,prefill EngineInspector layer 17 _gemm_mha_v2_myl0_17,decode EngineInspector layer 15 /MatMul_myl0_15,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_002,Attention_x_V,YES,YES,prefill EngineInspector layer 17 _gemm_mha_v2_myl0_17,decode EngineInspector layer 18 /MatMul_1_myl0_18,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_003,QK^T,YES,YES,prefill EngineInspector layer 44 _gemm_mha_v2_myl0_44,decode EngineInspector layer 44 /MatMul_2_myl0_44,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_004,Attention_x_V,YES,YES,prefill EngineInspector layer 44 _gemm_mha_v2_myl0_44,decode EngineInspector layer 47 /MatMul_3_myl0_47,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_005,QK^T,YES,YES,prefill EngineInspector layer 65 _gemm_mha_v2_myl0_65,decode EngineInspector layer 67 /MatMul_4_myl0_67,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_006,Attention_x_V,YES,YES,prefill EngineInspector layer 65 _gemm_mha_v2_myl0_65,decode EngineInspector layer 70 /MatMul_5_myl0_70,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_007,QK^T,YES,YES,prefill EngineInspector layer 88 _gemm_mha_v2_myl0_88,decode EngineInspector layer 92 /MatMul_6_myl0_92,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_008,Attention_x_V,YES,YES,prefill EngineInspector layer 88 _gemm_mha_v2_myl0_88,decode EngineInspector layer 95 /MatMul_7_myl0_95,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_009,QK^T,YES,YES,prefill EngineInspector layer 111 _gemm_mha_v2_myl0_111,decode EngineInspector layer 117 /MatMul_8_myl0_117,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_010,Attention_x_V,YES,YES,prefill EngineInspector layer 111 _gemm_mha_v2_myl0_111,decode EngineInspector layer 120 /MatMul_9_myl0_120,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_011,QK^T,YES,YES,prefill EngineInspector layer 134 _gemm_mha_v2_myl0_134,decode EngineInspector layer 142 /MatMul_10_myl0_142,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_012,Attention_x_V,YES,YES,prefill EngineInspector layer 134 _gemm_mha_v2_myl0_134,decode EngineInspector layer 145 /MatMul_11_myl0_145,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_013,QK^T,YES,YES,prefill EngineInspector layer 157 _gemm_mha_v2_myl0_157,decode EngineInspector layer 167 /MatMul_12_myl0_167,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_014,Attention_x_V,YES,YES,prefill EngineInspector layer 157 _gemm_mha_v2_myl0_157,decode EngineInspector layer 170 /MatMul_13_myl0_170,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
P6A_015,QK^T,YES,YES,prefill EngineInspector layer 180 _gemm_mha_v2_myl0_180,decode EngineInspector layer 192 /MatMul_14_myl0_192,SHARED_SEMANTIC_PREFILL_FUSED_DECODE_STANDALONE,HIGH,prefill uses fused _gemm_mha_v2; decode exposes standalone ONNX-named GEMM layers
