instance_index,correlation_id,nvtx_range,runtime_api,runtime_start_ns,runtime_end_ns,kernels_for_correlation,exact_nvtx_count_at_runtime_start,exact_nvtx_count_at_runtime_end,all_nvtx_count_at_runtime_start,method,confidence,notes
1,9095,myelin-exec:/MatMul,cudaLaunchKernel_v7000,10824909216,10824947264,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Kernel starts after NVTX range end; ownership is launch correlation rather than time overlap
2,10478,myelin-exec:/MatMul,cudaLaunchKernel_v7000,10880404832,10880441824,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Kernel starts after NVTX range end; ownership is launch correlation rather than time overlap
3,11865,myelin-exec:/MatMul,cudaLaunchKernel_v7000,10918580992,10918611616,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Kernel starts after NVTX range end; ownership is launch correlation rather than time overlap
4,12530,myelin-exec:/MatMul,cuLaunchKernelEx,10940078208,10940101792,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Tactic-consistent xmma companion; included to reconcile all 11 /MatMul launches
5,13709,myelin-exec:/MatMul,cudaLaunchKernel_v7000,10980684736,10980720864,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Kernel starts after NVTX range end; ownership is launch correlation rather than time overlap
6,14364,myelin-exec:/MatMul,cuLaunchKernelEx,11004262880,11004280000,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Tactic-consistent xmma companion; included to reconcile all 11 /MatMul launches
7,15187,myelin-exec:/MatMul,cudaLaunchKernel_v7000,11040480864,11040528032,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Kernel starts after NVTX range end; ownership is launch correlation rather than time overlap
8,15842,myelin-exec:/MatMul,cuLaunchKernelEx,11062852000,11062868960,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Tactic-consistent xmma companion; included to reconcile all 11 /MatMul launches
9,16665,myelin-exec:/MatMul,cudaLaunchKernel_v7000,11081612608,11081649216,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Kernel starts after NVTX range end; ownership is launch correlation rather than time overlap
10,17320,myelin-exec:/MatMul,cuLaunchKernelEx,11099560992,11099576512,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Tactic-consistent xmma companion; included to reconcile all 11 /MatMul launches
11,18143,myelin-exec:/MatMul,cudaLaunchKernel_v7000,11120894240,11120938880,1,1,1,5,DIRECT_NVTX_CONTAINMENT_TO_RUNTIME_CORRELATION_TO_ONE_KERNEL,HIGH,Kernel starts after NVTX range end; ownership is launch correlation rather than time overlap
