decoder_layer,qk_onnx_node,decode_trt_layer,static_decode_tactic_class,static_decode_kernel_full_name,prefill_trt_layer,prefill_fusion_status,runtime_path_observation,runtime_shape_equivalence,confidence
0,/MatMul,/MatMul_myl0_15,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_17,FUSED_INTO_gemm_mha_v2,Layer 0 runtime trace contains four xmma and seven h16816 exact /MatMul launches with different immediate parents,UNKNOWN,HIGH_STATIC; LOW_RUNTIME_TRANSITION
1,/MatMul_2,/MatMul_2_myl0_44,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_44,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
2,/MatMul_4,/MatMul_4_myl0_67,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_65,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
3,/MatMul_6,/MatMul_6_myl0_92,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_88,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
4,/MatMul_8,/MatMul_8_myl0_117,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_111,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
5,/MatMul_10,/MatMul_10_myl0_142,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_134,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
6,/MatMul_12,/MatMul_12_myl0_167,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_157,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
7,/MatMul_14,/MatMul_14_myl0_192,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_180,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
8,/MatMul_16,/MatMul_16_myl0_217,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_203,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
9,/MatMul_18,/MatMul_18_myl0_241,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_225,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
10,/MatMul_20,/MatMul_20_myl0_266,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_248,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
11,/MatMul_22,/MatMul_22_myl0_291,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_271,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
12,/MatMul_24,/MatMul_24_myl0_316,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_294,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
13,/MatMul_26,/MatMul_26_myl0_341,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_317,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
14,/MatMul_28,/MatMul_28_myl0_366,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_340,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
15,/MatMul_30,/MatMul_30_myl0_390,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_362,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
16,/MatMul_32,/MatMul_32_myl0_415,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_385,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
17,/MatMul_34,/MatMul_34_myl0_440,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,_gemm_mha_v2_myl0_408,FUSED_INTO_gemm_mha_v2,NOT_ISOLATED_IN_THIS_PHASE,UNKNOWN,HIGH_STATIC; UNKNOWN_RUNTIME_EQUIVALENCE
