launch_index,boundary,decode_step,nvtx_text,correlation_id,path,kernel_short_name,kernel_start_ns,duration_ns,immediate_parent_nvtx_range,ancestor_enqueue_nvtx_range,confidence
1,PHASE3B_WARMUP,UNKNOWN,/MatMul,9095,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10824947040,10106112,{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},ExecutionContext::enqueue,HIGH
2,PHASE3B_WARMUP,UNKNOWN,/MatMul,10478,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10880442016,8926944,{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},ExecutionContext::enqueue,HIGH
3,PHASE3B_STEADY_PREFILL_S8,UNKNOWN,/MatMul,11865,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10918609824,4742752,{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},ExecutionContext::enqueue,HIGH
4,PHASE3B_STEADY_DECODE_STEP_0,0,/MatMul,12530,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,10940100864,14592,{ForeignNode[/Cast.../Add_111]},ExecutionContext::enqueue,HIGH
5,PHASE3B_STEADY_DECODE_STEP_0,0,/MatMul,13709,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,10980720704,10102688,{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},ExecutionContext::enqueue,HIGH
6,PHASE3B_STEADY_DECODE_STEP_1,1,/MatMul,14364,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,11004886400,31008,{ForeignNode[/Cast.../Add_111]},ExecutionContext::enqueue,HIGH
7,PHASE3B_STEADY_DECODE_STEP_1,1,/MatMul,15187,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,11040526912,8816768,{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},ExecutionContext::enqueue,HIGH
8,PHASE3B_STEADY_DECODE_STEP_2,2,/MatMul,15842,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,11063057248,14976,{ForeignNode[/Cast.../Add_111]},ExecutionContext::enqueue,HIGH
9,PHASE3B_STEADY_DECODE_STEP_2,2,/MatMul,16665,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,11081646112,4690080,{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},ExecutionContext::enqueue,HIGH
10,PHASE3B_STEADY_DECODE_STEP_3,3,/MatMul,17320,xmma,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,11099760800,15264,{ForeignNode[/Cast.../Add_111]},ExecutionContext::enqueue,HIGH
11,PHASE3B_STEADY_DECODE_STEP_3,3,/MatMul,18143,h16816,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,11120935584,7599008,{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},ExecutionContext::enqueue,HIGH
