semantic_operator,runtime_layer,kernel_name,kernel_family,launch_count,total_duration_ns,median_duration_ns,steady_duration_ns,confidence
Attention_x_V,/MatMul_1_myl0_18,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,131328,26752.0,131328,HIGH
Attention_x_V,/MatMul_3_myl0_47,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,130368,26560.0,130368,HIGH
Attention_x_V,/MatMul_5_myl0_70,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,130304,26768.0,130304,HIGH
Attention_x_V,/MatMul_7_myl0_95,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,132224,26880.0,132224,HIGH
Attention_x_V,/MatMul_9_myl0_120,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,129728,26704.0,129728,HIGH
Attention_x_V,/MatMul_11_myl0_145,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,131648,27216.0,131648,HIGH
Attention_x_V,/MatMul_13_myl0_170,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,132128,27024.0,132128,HIGH
Attention_x_V,/MatMul_15_myl0_195,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,133728,27232.0,133728,HIGH
Attention_x_V,/MatMul_17_myl0_220,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,132800,27216.0,132800,HIGH
Attention_x_V,/MatMul_19_myl0_244,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,138784,30000.0,138784,HIGH
Attention_x_V,/MatMul_21_myl0_269,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,157056,39344.0,157056,HIGH
Attention_x_V,/MatMul_23_myl0_294,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,158784,39600.0,158784,HIGH
Attention_x_V,/MatMul_25_myl0_319,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,4,157792,39344.0,157792,HIGH
