candidate_layer,decoder_layer,semantic_identity,TensorRT_layer,ONNX_identity,NVTX_range,kernel_name,kernel_family,correlation_id,duration_ns,warmup_or_steady,runtime_boundary,confidence,source_artifact
P6A_002,0,Attention_x_V,/MatMul_1_myl0_18,/MatMul_1,/MatMul_1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12535,26784,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
P6A_004,1,Attention_x_V,/MatMul_3_myl0_47,/MatMul_3,/MatMul_3,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12581,26944,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
P6A_006,2,Attention_x_V,/MatMul_5_myl0_70,/MatMul_5,/MatMul_5,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12615,27072,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
P6A_008,3,Attention_x_V,/MatMul_7_myl0_95,/MatMul_7,/MatMul_7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12657,26944,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
P6A_010,4,Attention_x_V,/MatMul_9_myl0_120,/MatMul_9,/MatMul_9,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12699,27104,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
P6A_012,5,Attention_x_V,/MatMul_11_myl0_145,/MatMul_11,/MatMul_11,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12741,27648,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
P6A_014,6,Attention_x_V,/MatMul_13_myl0_170,/MatMul_13,/MatMul_13,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12783,27360,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
P6A_016,7,Attention_x_V,/MatMul_15_myl0_195,/MatMul_15,/MatMul_15,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12825,27200,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
P6A_018,8,Attention_x_V,/MatMul_17_myl0_220,/MatMul_17,/MatMul_17,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12867,26592,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
P6A_020,9,Attention_x_V,/MatMul_19_myl0_244,/MatMul_19,/MatMul_19,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,sm80_xmma_gemm_f16f16_f16f32_f32,12909,32896,STEADY,PHASE3B_STEADY_DECODE_STEP_0,HIGH,PHASE3C_MIXED_PERSISTENT_SQLITE;PHASE6A_SEMANTIC_ATTRIBUTION;PHASE6A_RUNTIME_CONTEXT_ATTRIBUTION
